scenario,seed,n,density,skew,w_mean,w_heavy
L120_uniform,2026,120,0.449,0.34,45.3,0.267
L120_uniform,2027,120,0.449,0.352,43.7,0.283
L120_uniform,2028,120,0.449,0.355,40.8,0.25
L120_uniform,2029,120,0.449,0.36,40.3,0.267
L120_uniform,2030,120,0.449,0.357,43.2,0.242
L120_uniform,2031,120,0.449,0.354,45.3,0.342
L120_uniform,2032,120,0.449,0.363,47.2,0.333
L120_uniform,2033,120,0.449,0.374,45.4,0.342
L120_uniform,2034,120,0.449,0.367,42.7,0.3
L120_uniform,2035,120,0.449,0.358,43.7,0.242
L120_uniform,2036,120,0.449,0.362,43.4,0.25
L120_uniform,2037,120,0.449,0.339,42.0,0.283
L120_uniform,2038,120,0.449,0.374,42.0,0.3
L120_uniform,2039,120,0.449,0.355,47.5,0.367
L120_uniform,2040,120,0.449,0.346,40.9,0.242
L120_uniform,2041,120,0.449,0.359,43.6,0.292
L120_uniform,2042,120,0.449,0.343,43.3,0.283
L120_uniform,2043,120,0.449,0.352,41.0,0.242
L120_uniform,2044,120,0.449,0.36,40.3,0.25
L120_uniform,2045,120,0.449,0.361,41.5,0.25
L120_uniform,2046,120,0.449,0.363,42.1,0.192
L120_uniform,2047,120,0.449,0.36,42.2,0.25
L120_uniform,2048,120,0.449,0.345,40.0,0.258
L120_uniform,2049,120,0.449,0.337,43.1,0.267
L120_uniform,2050,120,0.449,0.342,43.1,0.25
L120_uniform,2051,120,0.449,0.351,43.1,0.258
L120_uniform,2052,120,0.449,0.38,41.9,0.2
L120_uniform,2053,120,0.449,0.347,42.7,0.3
L120_uniform,2054,120,0.449,0.367,43.7,0.25
L120_uniform,2055,120,0.449,0.35,38.7,0.167
L120_skew,2026,120,0.449,0.562,45.3,0.267
L120_skew,2027,120,0.449,0.609,43.7,0.283
L120_skew,2028,120,0.449,0.725,40.8,0.25
L120_skew,2029,120,0.449,0.663,40.3,0.267
L120_skew,2030,120,0.449,0.694,43.2,0.242
L120_skew,2031,120,0.449,0.789,45.3,0.342
L120_skew,2032,120,0.449,0.815,47.2,0.333
L120_skew,2033,120,0.449,0.698,45.4,0.342
L120_skew,2034,120,0.449,0.721,42.7,0.3
L120_skew,2035,120,0.449,0.686,43.7,0.242
L120_skew,2036,120,0.449,0.68,43.4,0.25
L120_skew,2037,120,0.449,0.583,42.0,0.283
L120_skew,2038,120,0.449,0.636,42.0,0.3
L120_skew,2039,120,0.449,0.642,47.5,0.367
L120_skew,2040,120,0.449,0.721,40.9,0.242
L120_skew,2041,120,0.449,0.603,43.6,0.292
L120_skew,2042,120,0.449,0.657,43.3,0.283
L120_skew,2043,120,0.449,0.684,41.0,0.242
L120_skew,2044,120,0.449,0.737,40.3,0.25
L120_skew,2045,120,0.449,0.708,41.5,0.25
L120_skew,2046,120,0.449,0.564,42.1,0.192
L120_skew,2047,120,0.449,0.688,42.2,0.25
L120_skew,2048,120,0.449,0.581,40.0,0.258
L120_skew,2049,120,0.449,0.753,43.1,0.267
L120_skew,2050,120,0.449,0.566,43.1,0.25
L120_skew,2051,120,0.449,0.606,43.1,0.258
L120_skew,2052,120,0.449,0.64,41.9,0.2
L120_skew,2053,120,0.449,0.749,42.7,0.3
L120_skew,2054,120,0.449,0.611,43.7,0.25
L120_skew,2055,120,0.449,0.615,38.7,0.167
L120_heavy,2026,120,0.449,0.562,54.8,0.392
L120_heavy,2027,120,0.449,0.609,53.3,0.417
L120_heavy,2028,120,0.449,0.725,51.2,0.333
L120_heavy,2029,120,0.449,0.663,50.4,0.383
L120_heavy,2030,120,0.449,0.694,53.0,0.392
L120_heavy,2031,120,0.449,0.789,54.7,0.425
L120_heavy,2032,120,0.449,0.815,56.1,0.458
L120_heavy,2033,120,0.449,0.698,54.3,0.458
L120_heavy,2034,120,0.449,0.721,51.9,0.417
L120_heavy,2035,120,0.449,0.686,53.7,0.425
L120_heavy,2036,120,0.449,0.68,53.0,0.425
L120_heavy,2037,120,0.449,0.583,51.6,0.4
L120_heavy,2038,120,0.449,0.636,51.5,0.425
L120_heavy,2039,120,0.449,0.642,55.8,0.492
L120_heavy,2040,120,0.449,0.721,51.1,0.367
L120_heavy,2041,120,0.449,0.603,53.4,0.408
L120_heavy,2042,120,0.449,0.657,52.7,0.433
L120_heavy,2043,120,0.449,0.684,51.4,0.367
L120_heavy,2044,120,0.449,0.737,50.4,0.367
L120_heavy,2045,120,0.449,0.708,51.5,0.4
L120_heavy,2046,120,0.449,0.564,52.2,0.392
L120_heavy,2047,120,0.449,0.688,52.5,0.358
L120_heavy,2048,120,0.449,0.581,50.4,0.35
L120_heavy,2049,120,0.449,0.753,53.1,0.375
L120_heavy,2050,120,0.449,0.566,53.2,0.4
L120_heavy,2051,120,0.449,0.606,53.2,0.425
L120_heavy,2052,120,0.449,0.64,52.6,0.358
L120_heavy,2053,120,0.449,0.749,52.2,0.417
L120_heavy,2054,120,0.449,0.611,53.4,0.433
L120_heavy,2055,120,0.449,0.615,49.8,0.292
tiny_light,2026,20,0.075,0.526,16.0,0.0
tiny_light,2027,20,0.075,0.463,13.5,0.0
tiny_light,2028,20,0.075,0.749,12.6,0.0
tiny_light,2029,20,0.075,0.836,14.8,0.0
tiny_light,2030,20,0.075,0.848,16.3,0.0
tiny_light,2031,20,0.075,0.802,16.9,0.0
tiny_light,2032,20,0.075,0.805,15.9,0.0
tiny_light,2033,20,0.075,0.717,15.8,0.0
tiny_light,2034,20,0.075,0.464,12.1,0.0
tiny_light,2035,20,0.075,0.709,14.9,0.0
tiny_light,2036,20,0.075,0.847,15.7,0.0
tiny_light,2037,20,0.075,0.622,12.6,0.0
tiny_light,2038,20,0.075,0.397,13.6,0.0
tiny_light,2039,20,0.075,0.796,17.4,0.0
tiny_light,2040,20,0.075,0.818,14.6,0.0
tiny_light,2041,20,0.075,0.475,13.7,0.0
tiny_light,2042,20,0.075,0.575,13.8,0.0
tiny_light,2043,20,0.075,0.788,16.8,0.0
tiny_light,2044,20,0.075,0.766,14.4,0.0
tiny_light,2045,20,0.075,0.855,16.1,0.0
tiny_light,2046,20,0.075,0.552,15.2,0.0
tiny_light,2047,20,0.075,0.393,14.7,0.0
tiny_light,2048,20,0.075,0.637,14.1,0.0
tiny_light,2049,20,0.075,0.806,14.0,0.0
tiny_light,2050,20,0.075,0.457,15.5,0.0
tiny_light,2051,20,0.075,0.552,15.7,0.0
tiny_light,2052,20,0.075,0.556,15.2,0.0
tiny_light,2053,20,0.075,0.377,14.3,0.0
tiny_light,2054,20,0.075,0.554,15.1,0.0
tiny_light,2055,20,0.075,0.814,12.8,0.0
light_sparse,2026,60,0.225,0.505,15.7,0.0
light_sparse,2027,60,0.225,0.444,14.5,0.0
light_sparse,2028,60,0.225,0.738,14.7,0.0
light_sparse,2029,60,0.225,0.695,15.2,0.0
light_sparse,2030,60,0.225,0.731,15.9,0.0
light_sparse,2031,60,0.225,0.79,16.2,0.0
light_sparse,2032,60,0.225,0.766,16.0,0.0
light_sparse,2033,60,0.225,0.759,15.8,0.0
light_sparse,2034,60,0.225,0.49,14.9,0.0
light_sparse,2035,60,0.225,0.727,15.8,0.0
light_sparse,2036,60,0.225,0.769,15.5,0.0
light_sparse,2037,60,0.225,0.583,14.2,0.0
light_sparse,2038,60,0.225,0.699,14.2,0.0
light_sparse,2039,60,0.225,0.664,16.9,0.0
light_sparse,2040,60,0.225,0.769,14.8,0.0
light_sparse,2041,60,0.225,0.559,15.3,0.0
light_sparse,2042,60,0.225,0.664,15.5,0.0
light_sparse,2043,60,0.225,0.766,15.1,0.0
light_sparse,2044,60,0.225,0.768,14.0,0.0
light_sparse,2045,60,0.225,0.786,15.5,0.0
light_sparse,2046,60,0.225,0.601,15.1,0.0
light_sparse,2047,60,0.225,0.621,15.2,0.0
light_sparse,2048,60,0.225,0.556,13.6,0.0
light_sparse,2049,60,0.225,0.784,15.0,0.0
light_sparse,2050,60,0.225,0.458,15.3,0.0
light_sparse,2051,60,0.225,0.639,15.7,0.0
light_sparse,2052,60,0.225,0.695,14.7,0.0
light_sparse,2053,60,0.225,0.707,15.3,0.0
light_sparse,2054,60,0.225,0.642,15.4,0.0
light_sparse,2055,60,0.225,0.659,13.2,0.0
light_full,2026,120,0.449,0.562,15.7,0.0
light_full,2027,120,0.449,0.609,15.3,0.0
light_full,2028,120,0.449,0.725,14.6,0.0
light_full,2029,120,0.449,0.663,14.4,0.0
light_full,2030,120,0.449,0.694,15.2,0.0
light_full,2031,120,0.449,0.789,15.8,0.0
light_full,2032,120,0.449,0.815,16.3,0.0
light_full,2033,120,0.449,0.698,15.8,0.0
light_full,2034,120,0.449,0.721,15.1,0.0
light_full,2035,120,0.449,0.686,15.3,0.0
light_full,2036,120,0.449,0.68,15.2,0.0
light_full,2037,120,0.449,0.583,14.9,0.0
light_full,2038,120,0.449,0.636,14.9,0.0
light_full,2039,120,0.449,0.642,16.3,0.0
light_full,2040,120,0.449,0.721,14.6,0.0
light_full,2041,120,0.449,0.603,15.3,0.0
light_full,2042,120,0.449,0.657,15.2,0.0
light_full,2043,120,0.449,0.684,14.6,0.0
light_full,2044,120,0.449,0.737,14.4,0.0
light_full,2045,120,0.449,0.708,14.7,0.0
light_full,2046,120,0.449,0.564,14.9,0.0
light_full,2047,120,0.449,0.688,14.9,0.0
light_full,2048,120,0.449,0.581,14.3,0.0
light_full,2049,120,0.449,0.753,15.2,0.0
light_full,2050,120,0.449,0.566,15.2,0.0
light_full,2051,120,0.449,0.606,15.2,0.0
light_full,2052,120,0.449,0.64,14.8,0.0
light_full,2053,120,0.449,0.749,15.0,0.0
light_full,2054,120,0.449,0.611,15.3,0.0
light_full,2055,120,0.449,0.615,14.0,0.0
flat_info,2026,120,0.449,0.23,45.3,0.267
flat_info,2027,120,0.449,0.231,43.7,0.283
flat_info,2028,120,0.449,0.232,40.8,0.25
flat_info,2029,120,0.449,0.233,40.3,0.267
flat_info,2030,120,0.449,0.232,43.2,0.242
flat_info,2031,120,0.449,0.232,45.3,0.342
flat_info,2032,120,0.449,0.234,47.2,0.333
flat_info,2033,120,0.449,0.235,45.4,0.342
flat_info,2034,120,0.449,0.233,42.7,0.3
flat_info,2035,120,0.449,0.233,43.7,0.242
flat_info,2036,120,0.449,0.232,43.4,0.25
flat_info,2037,120,0.449,0.229,42.0,0.283
flat_info,2038,120,0.449,0.233,42.0,0.3
flat_info,2039,120,0.449,0.232,47.5,0.367
flat_info,2040,120,0.449,0.231,40.9,0.242
flat_info,2041,120,0.449,0.232,43.6,0.292
flat_info,2042,120,0.449,0.229,43.3,0.283
flat_info,2043,120,0.449,0.231,41.0,0.242
flat_info,2044,120,0.449,0.233,40.3,0.25
flat_info,2045,120,0.449,0.233,41.5,0.25
flat_info,2046,120,0.449,0.232,42.1,0.192
flat_info,2047,120,0.449,0.233,42.2,0.25
flat_info,2048,120,0.449,0.23,40.0,0.258
flat_info,2049,120,0.449,0.23,43.1,0.267
flat_info,2050,120,0.449,0.23,43.1,0.25
flat_info,2051,120,0.449,0.231,43.1,0.258
flat_info,2052,120,0.449,0.234,41.9,0.2
flat_info,2053,120,0.449,0.231,42.7,0.3
flat_info,2054,120,0.449,0.233,43.7,0.25
flat_info,2055,120,0.449,0.231,38.7,0.167
dense_200,2026,200,0.749,0.627,42.8,0.245
dense_200,2027,200,0.749,0.606,42.7,0.24
dense_200,2028,200,0.749,0.669,41.2,0.25
dense_200,2029,200,0.749,0.683,41.8,0.3
dense_200,2030,200,0.749,0.637,41.8,0.23
dense_200,2031,200,0.749,0.744,45.2,0.35
dense_200,2032,200,0.749,0.771,45.8,0.31
dense_200,2033,200,0.749,0.741,44.4,0.31
dense_200,2034,200,0.749,0.686,43.7,0.29
dense_200,2035,200,0.749,0.688,42.4,0.22
dense_200,2036,200,0.749,0.681,44.4,0.275
dense_200,2037,200,0.749,0.7,43.0,0.29
dense_200,2038,200,0.749,0.61,43.6,0.305
dense_200,2039,200,0.749,0.647,47.3,0.355
dense_200,2040,200,0.749,0.699,40.8,0.25
dense_200,2041,200,0.749,0.584,43.9,0.295
dense_200,2042,200,0.749,0.606,43.2,0.27
dense_200,2043,200,0.749,0.68,42.3,0.26
dense_200,2044,200,0.749,0.688,41.0,0.25
dense_200,2045,200,0.749,0.649,40.9,0.225
dense_200,2046,200,0.749,0.578,42.1,0.225
dense_200,2047,200,0.749,0.691,41.9,0.245
dense_200,2048,200,0.749,0.664,42.4,0.275
dense_200,2049,200,0.749,0.731,42.9,0.255
dense_200,2050,200,0.749,0.547,40.7,0.22
dense_200,2051,200,0.749,0.643,42.7,0.285
dense_200,2052,200,0.749,0.695,42.1,0.225
dense_200,2053,200,0.749,0.751,42.3,0.275
dense_200,2054,200,0.749,0.572,42.3,0.24
dense_200,2055,200,0.749,0.629,39.0,0.18
dense_240,2026,240,0.899,0.638,41.7,0.237
dense_240,2027,240,0.899,0.599,42.1,0.233
dense_240,2028,240,0.899,0.676,40.8,0.25
dense_240,2029,240,0.899,0.667,43.3,0.325
dense_240,2030,240,0.899,0.638,39.7,0.204
dense_240,2031,240,0.899,0.738,44.8,0.35
dense_240,2032,240,0.899,0.763,45.5,0.308
dense_240,2033,240,0.899,0.727,43.4,0.3
dense_240,2034,240,0.899,0.673,42.7,0.275
dense_240,2035,240,0.899,0.679,42.7,0.217
dense_240,2036,240,0.899,0.721,43.3,0.267
dense_240,2037,240,0.899,0.682,42.6,0.275
dense_240,2038,240,0.899,0.645,43.0,0.3
dense_240,2039,240,0.899,0.631,45.2,0.317
dense_240,2040,240,0.899,0.679,41.0,0.25
dense_240,2041,240,0.899,0.566,43.5,0.283
dense_240,2042,240,0.899,0.596,43.7,0.271
dense_240,2043,240,0.899,0.684,42.0,0.254
dense_240,2044,240,0.899,0.677,41.6,0.267
dense_240,2045,240,0.899,0.668,41.7,0.225
dense_240,2046,240,0.899,0.596,40.6,0.212
dense_240,2047,240,0.899,0.669,41.9,0.242
dense_240,2048,240,0.899,0.669,42.1,0.271
dense_240,2049,240,0.899,0.734,42.9,0.254
dense_240,2050,240,0.899,0.56,41.1,0.229
dense_240,2051,240,0.899,0.672,42.2,0.271
dense_240,2052,240,0.899,0.682,42.2,0.225
dense_240,2053,240,0.899,0.734,42.3,0.279
dense_240,2054,240,0.899,0.64,42.4,0.25
dense_240,2055,240,0.899,0.631,39.1,0.167
heavy_sparse,2026,60,0.225,0.505,65.2,0.8
heavy_sparse,2027,60,0.225,0.444,63.2,0.667
heavy_sparse,2028,60,0.225,0.738,63.5,0.7
heavy_sparse,2029,60,0.225,0.695,63.9,0.683
heavy_sparse,2030,60,0.225,0.731,65.6,0.767
heavy_sparse,2031,60,0.225,0.79,65.8,0.733
heavy_sparse,2032,60,0.225,0.766,65.6,0.733
heavy_sparse,2033,60,0.225,0.759,65.0,0.7
heavy_sparse,2034,60,0.225,0.49,63.7,0.7
heavy_sparse,2035,60,0.225,0.727,65.1,0.75
heavy_sparse,2036,60,0.225,0.769,64.9,0.75
heavy_sparse,2037,60,0.225,0.583,63.0,0.617
heavy_sparse,2038,60,0.225,0.699,62.7,0.6
heavy_sparse,2039,60,0.225,0.664,66.7,0.767
heavy_sparse,2040,60,0.225,0.769,63.6,0.7
heavy_sparse,2041,60,0.225,0.559,64.3,0.65
heavy_sparse,2042,60,0.225,0.664,64.7,0.7
heavy_sparse,2043,60,0.225,0.766,64.2,0.667
heavy_sparse,2044,60,0.225,0.768,62.3,0.633
heavy_sparse,2045,60,0.225,0.786,64.9,0.683
heavy_sparse,2046,60,0.225,0.601,64.1,0.7
heavy_sparse,2047,60,0.225,0.621,64.4,0.733
heavy_sparse,2048,60,0.225,0.556,61.8,0.55
heavy_sparse,2049,60,0.225,0.784,64.1,0.65
heavy_sparse,2050,60,0.225,0.458,64.8,0.75
heavy_sparse,2051,60,0.225,0.639,65.4,0.783
heavy_sparse,2052,60,0.225,0.695,64.1,0.717
heavy_sparse,2053,60,0.225,0.707,64.6,0.683
heavy_sparse,2054,60,0.225,0.642,64.8,0.717
heavy_sparse,2055,60,0.225,0.659,61.4,0.567
drift_skewless,2026,120,0.449,0.463,45.3,0.267
drift_skewless,2027,120,0.449,0.493,43.7,0.283
drift_skewless,2028,120,0.449,0.601,40.8,0.25
drift_skewless,2029,120,0.449,0.533,40.3,0.267
drift_skewless,2030,120,0.449,0.628,43.2,0.242
drift_skewless,2031,120,0.449,0.68,45.3,0.342
drift_skewless,2032,120,0.449,0.704,47.2,0.333
drift_skewless,2033,120,0.449,0.565,45.4,0.342
drift_skewless,2034,120,0.449,0.642,42.7,0.3
drift_skewless,2035,120,0.449,0.56,43.7,0.242
drift_skewless,2036,120,0.449,0.633,43.4,0.25
drift_skewless,2037,120,0.449,0.476,42.0,0.283
drift_skewless,2038,120,0.449,0.503,42.0,0.3
drift_skewless,2039,120,0.449,0.515,47.5,0.367
drift_skewless,2040,120,0.449,0.623,40.9,0.242
drift_skewless,2041,120,0.449,0.488,43.6,0.292
drift_skewless,2042,120,0.449,0.598,43.3,0.283
drift_skewless,2043,120,0.449,0.547,41.0,0.242
drift_skewless,2044,120,0.449,0.692,40.3,0.25
drift_skewless,2045,120,0.449,0.597,41.5,0.25
drift_skewless,2046,120,0.449,0.46,42.1,0.192
drift_skewless,2047,120,0.449,0.562,42.2,0.25
drift_skewless,2048,120,0.449,0.463,40.0,0.258
drift_skewless,2049,120,0.449,0.685,43.1,0.267
drift_skewless,2050,120,0.449,0.462,43.1,0.25
drift_skewless,2051,120,0.449,0.494,43.1,0.258
drift_skewless,2052,120,0.449,0.514,41.9,0.2
drift_skewless,2053,120,0.449,0.612,42.7,0.3
drift_skewless,2054,120,0.449,0.497,43.7,0.25
drift_skewless,2055,120,0.449,0.508,38.7,0.167
drift_heavier,2026,120,0.449,0.562,52.2,0.317
drift_heavier,2027,120,0.449,0.609,51.0,0.342
drift_heavier,2028,120,0.449,0.725,48.7,0.275
drift_heavier,2029,120,0.449,0.663,48.2,0.317
drift_heavier,2030,120,0.449,0.694,50.5,0.333
drift_heavier,2031,120,0.449,0.789,52.3,0.375
drift_heavier,2032,120,0.449,0.815,53.7,0.408
drift_heavier,2033,120,0.449,0.698,52.3,0.375
drift_heavier,2034,120,0.449,0.721,50.2,0.375
drift_heavier,2035,120,0.449,0.686,51.0,0.367
drift_heavier,2036,120,0.449,0.68,50.7,0.35
drift_heavier,2037,120,0.449,0.583,49.6,0.342
drift_heavier,2038,120,0.449,0.636,49.6,0.342
drift_heavier,2039,120,0.449,0.642,54.0,0.417
drift_heavier,2040,120,0.449,0.721,48.8,0.275
drift_heavier,2041,120,0.449,0.603,50.9,0.375
drift_heavier,2042,120,0.449,0.657,50.7,0.325
drift_heavier,2043,120,0.449,0.684,48.8,0.283
drift_heavier,2044,120,0.449,0.737,48.2,0.283
drift_heavier,2045,120,0.449,0.708,49.2,0.342
drift_heavier,2046,120,0.449,0.564,49.7,0.267
drift_heavier,2047,120,0.449,0.688,49.8,0.3
drift_heavier,2048,120,0.449,0.581,48.0,0.283
drift_heavier,2049,120,0.449,0.753,50.5,0.308
drift_heavier,2050,120,0.449,0.566,50.5,0.283
drift_heavier,2051,120,0.449,0.606,50.5,0.333
drift_heavier,2052,120,0.449,0.64,49.5,0.267
drift_heavier,2053,120,0.449,0.749,50.1,0.333
drift_heavier,2054,120,0.449,0.611,50.9,0.35
drift_heavier,2055,120,0.449,0.615,47.0,0.25
illegal_mix,2026,120,0.449,0.562,46.5,0.275
illegal_mix,2027,120,0.449,0.609,45.3,0.3
illegal_mix,2028,120,0.449,0.725,43.0,0.275
illegal_mix,2029,120,0.449,0.663,42.8,0.292
illegal_mix,2030,120,0.449,0.694,45.4,0.267
illegal_mix,2031,120,0.449,0.789,47.2,0.358
illegal_mix,2032,120,0.449,0.815,48.8,0.35
illegal_mix,2033,120,0.449,0.698,47.0,0.358
illegal_mix,2034,120,0.449,0.721,44.3,0.317
illegal_mix,2035,120,0.449,0.686,45.5,0.258
illegal_mix,2036,120,0.449,0.68,44.9,0.267
illegal_mix,2037,120,0.449,0.583,43.9,0.292
illegal_mix,2038,120,0.449,0.636,44.0,0.317
illegal_mix,2039,120,0.449,0.642,48.7,0.375
illegal_mix,2040,120,0.449,0.721,42.8,0.258
illegal_mix,2041,120,0.449,0.603,44.9,0.3
illegal_mix,2042,120,0.449,0.657,45.4,0.308
illegal_mix,2043,120,0.449,0.684,43.3,0.267
illegal_mix,2044,120,0.449,0.737,42.6,0.275
illegal_mix,2045,120,0.449,0.708,43.4,0.267
illegal_mix,2046,120,0.449,0.564,44.2,0.217
illegal_mix,2047,120,0.449,0.688,44.1,0.267
illegal_mix,2048,120,0.449,0.581,41.7,0.283
illegal_mix,2049,120,0.449,0.753,44.7,0.283
illegal_mix,2050,120,0.449,0.566,45.1,0.275
illegal_mix,2051,120,0.449,0.606,44.3,0.258
illegal_mix,2052,120,0.449,0.64,43.5,0.217
illegal_mix,2053,120,0.449,0.749,44.3,0.325
illegal_mix,2054,120,0.449,0.611,46.0,0.275
illegal_mix,2055,120,0.449,0.615,40.8,0.183
