theta,variant,seed,swap_n,fam_dist_drop,tot_dual,t_link_avg,avg_retr,exp2_final,fails,viol
0.0,base,2026,0,0.0,3124.4575,9.2159,10.936,22.7319,0,0
0.0,corr,2026,289,0.6114,3410.3234,10.4341,11.3845,25.3106,0,0
0.0,link,2026,0,0.0,2844.06,5.0775,11.4323,22.7482,0,0
0.0,corr_link,2026,289,0.6114,3075.2133,7.4453,11.3301,24.3075,0,0
0.5,base,2026,0,0.0,3124.4575,9.2159,10.936,22.7319,0,0
0.5,corr,2026,289,0.6114,3151.617,8.1338,11.3703,24.6379,0,0
0.5,link,2026,0,0.0,2844.06,5.0775,11.4323,22.7482,0,0
0.5,corr_link,2026,289,0.6114,3074.1661,7.0041,11.6854,23.9847,0,0
1.0,base,2026,0,0.0,3124.4575,9.2159,10.936,22.7319,0,0
1.0,corr,2026,289,0.6114,2922.417,6.33,11.2504,23.7214,0,0
1.0,link,2026,0,0.0,2844.06,5.0775,11.4323,22.7482,0,0
1.0,corr_link,2026,289,0.6114,2921.0182,5.8526,11.3854,23.9964,0,0
0.0,base,2027,0,0.0,3042.6387,8.9647,10.6808,23.5281,0,0
0.0,corr,2027,268,0.599,3380.2618,9.4224,11.8459,24.983,0,0
0.0,link,2027,0,0.0,2855.9576,5.0754,11.4945,24.2471,0,0
0.0,corr_link,2027,268,0.599,3154.225,7.2655,11.9142,24.5575,0,0
0.5,base,2027,0,0.0,3042.6387,8.9647,10.6808,23.5281,0,0
0.5,corr,2027,268,0.599,3197.4216,7.4074,11.9176,22.4822,0,0
0.5,link,2027,0,0.0,2855.9576,5.0754,11.4945,24.2471,0,0
0.5,corr_link,2027,268,0.599,3056.7122,6.2772,11.8841,23.0135,0,0
1.0,base,2027,0,0.0,3042.6387,8.9647,10.6808,23.5281,0,0
1.0,corr,2027,268,0.599,3090.4542,7.2765,11.5007,24.0192,0,0
1.0,link,2027,0,0.0,2855.9576,5.0754,11.4945,24.2471,0,0
1.0,corr_link,2027,268,0.599,3012.1387,5.74,11.8123,25.0886,0,0
0.0,base,2028,0,0.0,3013.3322,9.1308,10.4612,21.6595,0,0
0.0,corr,2028,246,0.6013,3401.0834,9.5979,12.0407,24.469,0,0
0.0,link,2028,0,0.0,2759.076,5.1589,10.8943,25.6629,0,0
0.0,corr_link,2028,246,0.6013,3157.2223,6.7851,12.2393,24.8395,0,0
0.5,base,2028,0,0.0,3013.3322,9.1308,10.4612,21.6595,0,0
0.5,corr,2028,246,0.6013,3220.8765,7.8174,12.0106,23.2699,0,0
0.5,link,2028,0,0.0,2759.076,5.1589,10.8943,25.6629,0,0
0.5,corr_link,2028,246,0.6013,3002.2907,5.9525,11.826,23.0134,0,0
1.0,base,2028,0,0.0,3013.3322,9.1308,10.4612,21.6595,0,0
1.0,corr,2028,246,0.6013,3032.8871,6.548,11.6274,23.4726,0,0
1.0,link,2028,0,0.0,2759.076,5.1589,10.8943,25.6629,0,0
1.0,corr_link,2028,246,0.6013,2905.3501,5.4788,11.564,23.7343,0,0
0.0,base,2029,0,0.0,3096.2872,9.2703,10.7163,23.035,0,0
0.0,corr,2029,275,0.5861,3529.7346,10.0529,12.2088,25.5934,0,0
0.0,link,2029,0,0.0,2784.3775,5.6119,10.8393,24.1492,0,0
0.0,corr_link,2029,275,0.5861,3112.0644,7.1403,11.6593,24.8894,0,0
0.5,base,2029,0,0.0,3096.2872,9.2703,10.7163,23.035,0,0
0.5,corr,2029,275,0.5861,3369.873,8.4284,12.2309,25.1882,0,0
0.5,link,2029,0,0.0,2784.3775,5.6119,10.8393,24.1492,0,0
0.5,corr_link,2029,275,0.5861,3185.7218,6.7131,12.2845,24.5781,0,0
1.0,base,2029,0,0.0,3096.2872,9.2703,10.7163,23.035,0,0
1.0,corr,2029,275,0.5861,3121.2479,6.7869,11.8995,24.5748,0,0
1.0,link,2029,0,0.0,2784.3775,5.6119,10.8393,24.1492,0,0
1.0,corr_link,2029,275,0.5861,2998.6059,6.0073,11.7777,24.0052,0,0
0.0,base,2030,0,0.0,3052.8776,9.4434,10.5027,22.0767,0,0
0.0,corr,2030,269,0.6086,3298.5425,9.907,11.3667,24.2463,0,0
0.0,link,2030,0,0.0,2693.2822,5.5425,10.4023,23.8819,0,0
0.0,corr_link,2030,269,0.6086,2972.9327,6.9621,11.1423,24.4522,0,0
0.5,base,2030,0,0.0,3052.8776,9.4434,10.5027,22.0767,0,0
0.5,corr,2030,269,0.6086,3167.8103,8.6462,11.2218,24.2786,0,0
0.5,link,2030,0,0.0,2693.2822,5.5425,10.4023,23.8819,0,0
0.5,corr_link,2030,269,0.6086,2984.535,6.845,11.3072,24.1798,0,0
1.0,base,2030,0,0.0,3052.8776,9.4434,10.5027,22.0767,0,0
1.0,corr,2030,269,0.6086,3042.499,7.0049,11.5134,23.7362,0,0
1.0,link,2030,0,0.0,2693.2822,5.5425,10.4023,23.8819,0,0
1.0,corr_link,2030,269,0.6086,2870.7207,6.0257,11.1733,23.9551,0,0
0.0,base,2031,0,0.0,3164.1398,9.9472,10.6171,23.3312,0,0
0.0,corr,2031,257,0.6141,3516.0103,9.8006,12.2793,24.4262,0,0
0.0,link,2031,0,0.0,2827.444,5.4161,11.2159,23.6724,0,0
0.0,corr_link,2031,257,0.6141,3278.0367,7.6175,12.2727,24.4427,0,0
0.5,base,2031,0,0.0,3164.1398,9.9472,10.6171,23.3312,0,0
0.5,corr,2031,257,0.6141,3195.0118,7.6364,11.8419,25.7722,0,0
0.5,link,2031,0,0.0,2827.444,5.4161,11.2159,23.6724,0,0
0.5,corr_link,2031,257,0.6141,3047.8809,6.2116,11.854,25.7623,0,0
1.0,base,2031,0,0.0,3164.1398,9.9472,10.6171,23.3312,0,0
1.0,corr,2031,257,0.6141,3103.5088,6.5238,11.9161,25.1642,0,0
1.0,link,2031,0,0.0,2827.444,5.4161,11.2159,23.6724,0,0
1.0,corr_link,2031,257,0.6141,3004.5431,5.6908,11.8878,25.0314,0,0
0.0,base,2032,0,0.0,3188.774,9.5239,11.0419,23.4728,0,0
0.0,corr,2032,285,0.6155,3539.6484,9.9644,12.4235,24.6716,0,0
0.0,link,2032,0,0.0,2870.5369,5.2174,11.5298,24.0172,0,0
0.0,corr_link,2032,285,0.6155,3255.4597,7.1958,12.3452,24.9322,0,0
0.5,base,2032,0,0.0,3188.774,9.5239,11.0419,23.4728,0,0
0.5,corr,2032,285,0.6155,3387.8087,8.5343,12.4169,24.3283,0,0
0.5,link,2032,0,0.0,2870.5369,5.2174,11.5298,24.0172,0,0
0.5,corr_link,2032,285,0.6155,3185.0237,7.1633,11.9601,24.7966,0,0
1.0,base,2032,0,0.0,3188.774,9.5239,11.0419,23.4728,0,0
1.0,corr,2032,285,0.6155,3100.5423,6.3504,11.9133,24.5938,0,0
1.0,link,2032,0,0.0,2870.5369,5.2174,11.5298,24.0172,0,0
1.0,corr_link,2032,285,0.6155,3016.3191,5.8799,11.7366,24.2729,0,0
0.0,base,2033,0,0.0,3069.6047,9.2426,10.6884,22.6104,0,0
0.0,corr,2033,278,0.6081,3399.1847,9.7774,11.9889,22.8728,0,0
0.0,link,2033,0,0.0,2829.3532,5.5287,11.0482,23.4941,0,0
0.0,corr_link,2033,278,0.6081,3135.0325,7.1321,11.839,23.6487,0,0
0.5,base,2033,0,0.0,3069.6047,9.2426,10.6884,22.6104,0,0
0.5,corr,2033,278,0.6081,3322.6544,8.6898,11.9992,23.854,0,0
0.5,link,2033,0,0.0,2829.3532,5.5287,11.0482,23.4941,0,0
0.5,corr_link,2033,278,0.6081,3130.4358,6.7777,11.9391,24.3,0,0
1.0,base,2033,0,0.0,3069.6047,9.2426,10.6884,22.6104,0,0
1.0,corr,2033,278,0.6081,3077.6995,6.3441,11.9681,23.6354,0,0
1.0,link,2033,0,0.0,2829.3532,5.5287,11.0482,23.4941,0,0
1.0,corr_link,2033,278,0.6081,3078.0799,5.7809,12.2625,24.1486,0,0
0.0,base,2034,0,0.0,3151.7081,9.6868,10.7651,22.867,0,0
0.0,corr,2034,271,0.6062,3275.2708,9.7811,10.9404,24.2244,0,0
0.0,link,2034,0,0.0,2846.856,5.135,11.3348,23.5289,0,0
0.0,corr_link,2034,271,0.6062,2908.956,6.5668,11.0514,22.8136,0,0
0.5,base,2034,0,0.0,3151.7081,9.6868,10.7651,22.867,0,0
0.5,corr,2034,271,0.6062,3138.302,7.9616,11.3249,23.9357,0,0
0.5,link,2034,0,0.0,2846.856,5.135,11.3348,23.5289,0,0
0.5,corr_link,2034,271,0.6062,3014.9695,6.8135,11.4714,23.5894,0,0
1.0,base,2034,0,0.0,3151.7081,9.6868,10.7651,22.867,0,0
1.0,corr,2034,271,0.6062,3008.1276,6.6849,11.4832,23.3113,0,0
1.0,link,2034,0,0.0,2846.856,5.135,11.3348,23.5289,0,0
1.0,corr_link,2034,271,0.6062,2926.186,5.8938,11.4682,23.2312,0,0
0.0,base,2035,0,0.0,3054.123,9.2439,10.5987,23.1687,0,0
0.0,corr,2035,253,0.6155,3422.4087,9.8669,11.9549,24.386,0,0
0.0,link,2035,0,0.0,2726.9913,5.3739,10.7262,23.6385,0,0
0.0,corr_link,2035,253,0.6155,3094.9681,6.8621,11.8296,23.1534,0,0
0.5,base,2035,0,0.0,3054.123,9.2439,10.5987,23.1687,0,0
0.5,corr,2035,253,0.6155,3076.5226,7.7866,11.1402,23.9198,0,0
0.5,link,2035,0,0.0,2726.9913,5.3739,10.7262,23.6385,0,0
0.5,corr_link,2035,253,0.6155,2935.5351,6.278,11.3328,23.0887,0,0
1.0,base,2035,0,0.0,3054.123,9.2439,10.5987,23.1687,0,0
1.0,corr,2035,253,0.6155,3050.4895,7.2105,11.4605,23.5981,0,0
1.0,link,2035,0,0.0,2726.9913,5.3739,10.7262,23.6385,0,0
1.0,corr_link,2035,253,0.6155,2916.1333,5.8934,11.3615,23.9046,0,0
0.0,base,2036,0,0.0,3223.1883,10.1358,11.028,22.6499,0,0
0.0,corr,2036,266,0.6194,3454.2934,10.3913,11.8625,23.8485,0,0
0.0,link,2036,0,0.0,2842.5673,5.4743,11.254,23.0623,0,0
0.0,corr_link,2036,266,0.6194,3114.8138,7.229,11.8063,24.0154,0,0
0.5,base,2036,0,0.0,3223.1883,10.1358,11.028,22.6499,0,0
0.5,corr,2036,266,0.6194,3228.3961,7.5596,12.168,24.2666,0,0
0.5,link,2036,0,0.0,2842.5673,5.4743,11.254,23.0623,0,0
0.5,corr_link,2036,266,0.6194,3079.5904,6.1258,12.1359,24.0415,0,0
1.0,base,2036,0,0.0,3223.1883,10.1358,11.028,22.6499,0,0
1.0,corr,2036,266,0.6194,3014.436,6.2134,11.7063,24.3966,0,0
1.0,link,2036,0,0.0,2842.5673,5.4743,11.254,23.0623,0,0
1.0,corr_link,2036,266,0.6194,2999.0916,5.5315,11.9296,24.5724,0,0
0.0,base,2037,0,0.0,2974.9413,9.0838,10.2728,23.4106,0,0
0.0,corr,2037,260,0.5965,3488.5331,10.3372,11.9699,25.0674,0,0
0.0,link,2037,0,0.0,2784.9011,5.1975,11.1207,23.0216,0,0
0.0,corr_link,2037,260,0.5965,3094.9847,6.9074,11.8137,24.7252,0,0
0.5,base,2037,0,0.0,2974.9413,9.0838,10.2728,23.4106,0,0
0.5,corr,2037,260,0.5965,3227.5547,8.004,11.8458,24.7366,0,0
0.5,link,2037,0,0.0,2784.9011,5.1975,11.1207,23.0216,0,0
0.5,corr_link,2037,260,0.5965,3098.0486,6.4739,12.0024,25.058,0,0
1.0,base,2037,0,0.0,2974.9413,9.0838,10.2728,23.4106,0,0
1.0,corr,2037,260,0.5965,3011.8776,6.3733,11.6294,23.9843,0,0
1.0,link,2037,0,0.0,2784.9011,5.1975,11.1207,23.0216,0,0
1.0,corr_link,2037,260,0.5965,2925.7657,5.5733,11.6255,24.3664,0,0
0.0,base,2038,0,0.0,3035.2273,8.8992,10.5865,23.6124,0,0
0.0,corr,2038,278,0.614,3595.6052,9.9134,12.6738,24.2834,0,0
0.0,link,2038,0,0.0,2796.5709,5.4421,11.0034,24.2132,0,0
0.0,corr_link,2038,278,0.614,3289.8703,7.1127,12.7154,24.0503,0,0
0.5,base,2038,0,0.0,3035.2273,8.8992,10.5865,23.6124,0,0
0.5,corr,2038,278,0.614,3381.3915,8.0688,12.5259,24.3764,0,0
0.5,link,2038,0,0.0,2796.5709,5.4421,11.0034,24.2132,0,0
0.5,corr_link,2038,278,0.614,3239.9602,6.4199,12.6473,24.4656,0,0
1.0,base,2038,0,0.0,3035.2273,8.8992,10.5865,23.6124,0,0
1.0,corr,2038,278,0.614,3240.5758,6.2911,12.7907,24.2599,0,0
1.0,link,2038,0,0.0,2796.5709,5.4421,11.0034,24.2132,0,0
1.0,corr_link,2038,278,0.614,3156.1534,5.7885,12.624,24.1721,0,0
0.0,base,2039,0,0.0,3252.6321,10.0804,11.003,23.127,0,0
0.0,corr,2039,259,0.6112,3294.0771,9.6381,11.348,25.272,0,0
0.0,link,2039,0,0.0,2851.7099,5.2275,11.2556,23.1016,0,0
0.0,corr_link,2039,259,0.6112,3058.5509,7.2478,11.4097,24.1668,0,0
0.5,base,2039,0,0.0,3252.6321,10.0804,11.003,23.127,0,0
0.5,corr,2039,259,0.6112,3157.8459,8.3926,11.4096,23.7156,0,0
0.5,link,2039,0,0.0,2851.7099,5.2275,11.2556,23.1016,0,0
0.5,corr_link,2039,259,0.6112,2921.5529,6.7461,10.8256,23.8238,0,0
1.0,base,2039,0,0.0,3252.6321,10.0804,11.003,23.127,0,0
1.0,corr,2039,259,0.6112,3120.3124,7.4389,11.5996,24.0304,0,0
1.0,link,2039,0,0.0,2851.7099,5.2275,11.2556,23.1016,0,0
1.0,corr_link,2039,259,0.6112,2951.9573,6.4117,11.219,24.3057,0,0
0.0,base,2040,0,0.0,3068.1787,9.1302,10.7558,22.624,0,0
0.0,corr,2040,271,0.5824,3479.2851,10.025,12.0964,24.0687,0,0
0.0,link,2040,0,0.0,2773.3873,5.2772,10.9538,23.9644,0,0
0.0,corr_link,2040,271,0.5824,3136.8818,6.8627,12.0397,22.9498,0,0
0.5,base,2040,0,0.0,3068.1787,9.1302,10.7558,22.624,0,0
0.5,corr,2040,271,0.5824,3288.0221,8.6845,11.8886,24.0528,0,0
0.5,link,2040,0,0.0,2773.3873,5.2772,10.9538,23.9644,0,0
0.5,corr_link,2040,271,0.5824,3011.7253,6.1532,11.7761,24.3797,0,0
1.0,base,2040,0,0.0,3068.1787,9.1302,10.7558,22.624,0,0
1.0,corr,2040,271,0.5824,3071.894,6.5712,11.883,22.8275,0,0
1.0,link,2040,0,0.0,2773.3873,5.2772,10.9538,23.9644,0,0
