theta,variant,seed,swap_n,fam_dist_drop,tot_dual,t_link_avg,avg_retr,exp2_final,fails,viol
1.0,corr_link,2040,271,0.5824,2974.3889,5.5378,11.8463,23.4651,0,0
0.0,base,2041,0,0.0,3044.4526,9.176,10.601,22.714,0,0
0.0,corr,2041,276,0.6034,3467.6718,10.455,11.7541,24.1771,0,0
0.0,link,2041,0,0.0,2805.8487,5.2813,11.1586,23.2651,0,0
0.0,corr_link,2041,276,0.6034,3108.4627,6.8097,11.7752,23.6507,0,0
0.5,base,2041,0,0.0,3044.4526,9.176,10.601,22.714,0,0
0.5,corr,2041,276,0.6034,3221.6667,8.3631,11.6442,24.5847,0,0
0.5,link,2041,0,0.0,2805.8487,5.2813,11.1586,23.2651,0,0
0.5,corr_link,2041,276,0.6034,3046.7674,6.4612,11.8373,23.5818,0,0
1.0,base,2041,0,0.0,3044.4526,9.176,10.601,22.714,0,0
1.0,corr,2041,276,0.6034,2969.1302,5.8606,11.6015,23.9937,0,0
1.0,link,2041,0,0.0,2805.8487,5.2813,11.1586,23.2651,0,0
1.0,corr_link,2041,276,0.6034,2914.6497,5.6751,11.539,23.388,0,0
0.0,base,2042,0,0.0,3183.4575,9.3657,11.1744,22.65,0,0
0.0,corr,2042,262,0.6012,3444.5508,9.835,12.0719,23.5602,0,0
0.0,link,2042,0,0.0,2836.2224,5.6266,11.0611,22.8421,0,0
0.0,corr_link,2042,262,0.6012,3108.9827,7.1196,11.7867,22.9046,0,0
0.5,base,2042,0,0.0,3183.4575,9.3657,11.1744,22.65,0,0
0.5,corr,2042,262,0.6012,3220.0131,7.8009,12.0279,22.6677,0,0
0.5,link,2042,0,0.0,2836.2224,5.6266,11.0611,22.8421,0,0
0.5,corr_link,2042,262,0.6012,3135.0424,6.2564,12.302,23.8165,0,0
1.0,base,2042,0,0.0,3183.4575,9.3657,11.1744,22.65,0,0
1.0,corr,2042,262,0.6012,3060.6497,5.5651,12.2145,23.6064,0,0
1.0,link,2042,0,0.0,2836.2224,5.6266,11.0611,22.8421,0,0
1.0,corr_link,2042,262,0.6012,3071.3107,5.185,12.4412,23.6046,0,0
0.0,base,2043,0,0.0,3024.5693,8.6037,10.7573,24.3718,0,0
0.0,corr,2043,292,0.607,3457.8389,10.1561,11.8866,24.2724,0,0
0.0,link,2043,0,0.0,2920.5769,5.0453,11.8177,22.385,0,0
0.0,corr_link,2043,292,0.607,3091.571,7.0275,11.6682,24.3666,0,0
0.5,base,2043,0,0.0,3024.5693,8.6037,10.7573,24.3718,0,0
0.5,corr,2043,292,0.607,3282.492,8.3302,12.0673,21.9621,0,0
0.5,link,2043,0,0.0,2920.5769,5.0453,11.8177,22.385,0,0
0.5,corr_link,2043,292,0.607,3080.8983,6.6246,11.8355,22.2272,0,0
1.0,base,2043,0,0.0,3024.5693,8.6037,10.7573,24.3718,0,0
1.0,corr,2043,292,0.607,3068.6079,5.8803,12.0392,24.2018,0,0
1.0,link,2043,0,0.0,2920.5769,5.0453,11.8177,22.385,0,0
1.0,corr_link,2043,292,0.607,3003.0954,5.5309,11.9792,23.5296,0,0
0.0,base,2044,0,0.0,3346.2134,9.7417,11.7935,22.9022,0,0
0.0,corr,2044,267,0.5952,3385.5696,9.8015,11.6946,23.9183,0,0
0.0,link,2044,0,0.0,2906.9726,4.9839,11.7995,23.6714,0,0
0.0,corr_link,2044,267,0.5952,3052.3204,7.004,11.4588,23.7003,0,0
0.5,base,2044,0,0.0,3346.2134,9.7417,11.7935,22.9022,0,0
0.5,corr,2044,267,0.5952,3188.2598,7.8761,11.5833,24.5179,0,0
0.5,link,2044,0,0.0,2906.9726,4.9839,11.7995,23.6714,0,0
0.5,corr_link,2044,267,0.5952,2976.3035,6.3652,11.3573,24.0278,0,0
1.0,base,2044,0,0.0,3346.2134,9.7417,11.7935,22.9022,0,0
1.0,corr,2044,267,0.5952,2935.5944,5.7964,11.5089,23.3197,0,0
1.0,link,2044,0,0.0,2906.9726,4.9839,11.7995,23.6714,0,0
1.0,corr_link,2044,267,0.5952,2885.9473,5.6759,11.3509,23.4818,0,0
0.0,base,2045,0,0.0,3089.5006,9.1511,10.7981,22.5797,0,0
0.0,corr,2045,266,0.6009,3435.7121,9.9535,11.8131,25.7867,0,0
0.0,link,2045,0,0.0,2955.7825,5.1729,11.8653,23.8142,0,0
0.0,corr_link,2045,266,0.6009,3240.6817,7.0383,12.4147,24.823,0,0
0.5,base,2045,0,0.0,3089.5006,9.1511,10.7981,22.5797,0,0
0.5,corr,2045,266,0.6009,3230.6278,8.7631,11.3125,25.0385,0,0
0.5,link,2045,0,0.0,2955.7825,5.1729,11.8653,23.8142,0,0
0.5,corr_link,2045,266,0.6009,2959.5225,6.8463,11.1316,24.9632,0,0
1.0,base,2045,0,0.0,3089.5006,9.1511,10.7981,22.5797,0,0
1.0,corr,2045,266,0.6009,2979.614,6.0678,11.463,25.3959,0,0
1.0,link,2045,0,0.0,2955.7825,5.1729,11.8653,23.8142,0,0
1.0,corr_link,2045,266,0.6009,2910.6553,5.4637,11.5511,24.6794,0,0
0.0,base,2046,0,0.0,3186.5494,9.5373,11.1441,22.6569,0,0
0.0,corr,2046,274,0.597,3557.6363,10.3443,12.3435,24.7143,0,0
0.0,link,2046,0,0.0,2765.6354,5.5435,10.8398,23.7136,0,0
0.0,corr_link,2046,274,0.597,3278.8958,7.3205,12.5009,24.435,0,0
0.5,base,2046,0,0.0,3186.5494,9.5373,11.1441,22.6569,0,0
0.5,corr,2046,274,0.597,3318.821,8.2579,12.2443,24.0762,0,0
0.5,link,2046,0,0.0,2765.6354,5.5435,10.8398,23.7136,0,0
0.5,corr_link,2046,274,0.597,3102.9017,6.5339,12.0959,24.2254,0,0
1.0,base,2046,0,0.0,3186.5494,9.5373,11.1441,22.6569,0,0
1.0,corr,2046,274,0.597,3172.5202,6.2682,12.4343,24.3952,0,0
1.0,link,2046,0,0.0,2765.6354,5.5435,10.8398,23.7136,0,0
1.0,corr_link,2046,274,0.597,3046.8562,5.3765,12.2827,24.0417,0,0
0.0,base,2047,0,0.0,3266.5333,9.6895,11.1979,23.8427,0,0
0.0,corr,2047,261,0.5777,3403.8986,9.5233,11.8498,24.3009,0,0
0.0,link,2047,0,0.0,2842.2829,5.1456,11.3511,24.182,0,0
0.0,corr_link,2047,261,0.5777,3128.8146,6.9275,11.9748,23.2263,0,0
0.5,base,2047,0,0.0,3266.5333,9.6895,11.1979,23.8427,0,0
0.5,corr,2047,261,0.5777,3193.518,8.223,11.5664,23.2745,0,0
0.5,link,2047,0,0.0,2842.2829,5.1456,11.3511,24.182,0,0
0.5,corr_link,2047,261,0.5777,2994.4135,6.866,11.3511,23.2765,0,0
1.0,base,2047,0,0.0,3266.5333,9.6895,11.1979,23.8427,0,0
1.0,corr,2047,261,0.5777,3076.8767,6.7223,11.7977,23.3705,0,0
1.0,link,2047,0,0.0,2842.2829,5.1456,11.3511,24.182,0,0
1.0,corr_link,2047,261,0.5777,2937.8204,5.7684,11.4944,23.4368,0,0
0.0,base,2048,0,0.0,3180.9186,9.4072,11.171,22.6619,0,0
0.0,corr,2048,278,0.5862,3416.0035,9.9411,11.8128,24.5098,0,0
0.0,link,2048,0,0.0,2874.1882,5.5656,11.3161,23.9432,0,0
0.0,corr_link,2048,278,0.5862,3067.7779,6.8898,11.6803,24.0928,0,0
0.5,base,2048,0,0.0,3180.9186,9.4072,11.171,22.6619,0,0
0.5,corr,2048,278,0.5862,3176.4134,7.286,11.867,24.9698,0,0
0.5,link,2048,0,0.0,2874.1882,5.5656,11.3161,23.9432,0,0
0.5,corr_link,2048,278,0.5862,3097.1703,6.2808,12.0654,24.3327,0,0
1.0,base,2048,0,0.0,3180.9186,9.4072,11.171,22.6619,0,0
1.0,corr,2048,278,0.5862,3164.1668,6.646,12.2553,24.1471,0,0
1.0,link,2048,0,0.0,2874.1882,5.5656,11.3161,23.9432,0,0
1.0,corr_link,2048,278,0.5862,3021.0114,5.0918,12.3096,24.0233,0,0
0.0,base,2049,0,0.0,3212.7984,9.1987,11.3146,23.7015,0,0
0.0,corr,2049,268,0.5912,3348.0442,9.7593,11.6506,24.0959,0,0
0.0,link,2049,0,0.0,2714.194,5.5799,10.3943,23.3668,0,0
0.0,corr_link,2049,268,0.5912,3023.3832,7.296,11.2006,23.9784,0,0
0.5,base,2049,0,0.0,3212.7984,9.1987,11.3146,23.7015,0,0
0.5,corr,2049,268,0.5912,3019.7241,8.0476,10.8307,24.3306,0,0
0.5,link,2049,0,0.0,2714.194,5.5799,10.3943,23.3668,0,0
0.5,corr_link,2049,268,0.5912,2884.9486,6.5562,10.8158,24.4468,0,0
1.0,base,2049,0,0.0,3212.7984,9.1987,11.3146,23.7015,0,0
1.0,corr,2049,268,0.5912,2985.0413,6.7624,11.3832,23.6091,0,0
1.0,link,2049,0,0.0,2714.194,5.5799,10.3943,23.3668,0,0
1.0,corr_link,2049,268,0.5912,2834.6405,5.445,11.1782,23.8867,0,0
0.0,base,2050,0,0.0,3114.2568,9.4656,10.7985,22.643,0,0
0.0,corr,2050,291,0.6012,3366.6161,9.5623,11.5704,25.1454,0,0
0.0,link,2050,0,0.0,2816.2607,5.2619,11.137,24.4354,0,0
0.0,corr_link,2050,291,0.6012,3032.5278,6.9971,11.4769,25.0392,0,0
0.5,base,2050,0,0.0,3114.2568,9.4656,10.7985,22.643,0,0
0.5,corr,2050,291,0.6012,3104.0662,7.2806,11.577,24.8199,0,0
0.5,link,2050,0,0.0,2816.2607,5.2619,11.137,24.4354,0,0
0.5,corr_link,2050,291,0.6012,2996.0937,6.4976,11.4103,24.6202,0,0
1.0,base,2050,0,0.0,3114.2568,9.4656,10.7985,22.643,0,0
1.0,corr,2050,291,0.6012,2932.3897,5.8292,11.4578,24.9064,0,0
1.0,link,2050,0,0.0,2816.2607,5.2619,11.137,24.4354,0,0
1.0,corr_link,2050,291,0.6012,2868.1363,5.4115,11.3846,24.8689,0,0
0.0,base,2051,0,0.0,3114.3664,9.0379,10.9229,21.9185,0,0
0.0,corr,2051,290,0.5838,3251.5529,9.2053,11.3993,24.0633,0,0
0.0,link,2051,0,0.0,2862.0749,5.3194,11.3439,23.5477,0,0
0.0,corr_link,2051,290,0.5838,3066.9604,7.1514,11.4624,24.5045,0,0
0.5,base,2051,0,0.0,3114.3664,9.0379,10.9229,21.9185,0,0
0.5,corr,2051,290,0.5838,3286.0924,8.7714,11.695,23.3059,0,0
0.5,link,2051,0,0.0,2862.0749,5.3194,11.3439,23.5477,0,0
0.5,corr_link,2051,290,0.5838,3069.725,6.9627,11.6175,22.3948,0,0
1.0,base,2051,0,0.0,3114.3664,9.0379,10.9229,21.9185,0,0
1.0,corr,2051,290,0.5838,3089.146,6.5281,11.8858,23.763,0,0
1.0,link,2051,0,0.0,2862.0749,5.3194,11.3439,23.5477,0,0
1.0,corr_link,2051,290,0.5838,2905.7259,5.4178,11.5705,23.3247,0,0
0.0,base,2052,0,0.0,3001.3875,9.0028,10.4656,22.8653,0,0
0.0,corr,2052,264,0.6123,3382.0398,9.9012,11.6104,24.0881,0,0
0.0,link,2052,0,0.0,2756.5965,5.6247,10.6565,23.3749,0,0
0.0,corr_link,2052,264,0.6123,3093.9062,7.2468,11.6137,23.3499,0,0
0.5,base,2052,0,0.0,3001.3875,9.0028,10.4656,22.8653,0,0
0.5,corr,2052,264,0.6123,3332.5858,8.4136,12.0645,24.4414,0,0
0.5,link,2052,0,0.0,2756.5965,5.6247,10.6565,23.3749,0,0
0.5,corr_link,2052,264,0.6123,3047.1728,6.8065,11.5084,24.1053,0,0
1.0,base,2052,0,0.0,3001.3875,9.0028,10.4656,22.8653,0,0
1.0,corr,2052,264,0.6123,3116.3934,6.9737,11.8935,23.2536,0,0
1.0,link,2052,0,0.0,2756.5965,5.6247,10.6565,23.3749,0,0
1.0,corr_link,2052,264,0.6123,3040.9718,6.2525,11.8086,23.8937,0,0
0.0,base,2053,0,0.0,3447.3229,10.3395,11.8069,23.2497,0,0
0.0,corr,2053,251,0.6051,3559.2177,10.486,12.2398,24.9757,0,0
0.0,link,2053,0,0.0,3018.5897,5.746,11.8907,23.3793,0,0
0.0,corr_link,2053,251,0.6051,3179.388,7.3577,11.9398,24.5345,0,0
0.5,base,2053,0,0.0,3447.3229,10.3395,11.8069,23.2497,0,0
0.5,corr,2053,251,0.6051,3466.6468,8.7584,12.6112,24.5204,0,0
0.5,link,2053,0,0.0,3018.5897,5.746,11.8907,23.3793,0,0
0.5,corr_link,2053,251,0.6051,3118.9876,6.1779,12.129,24.3438,0,0
1.0,base,2053,0,0.0,3447.3229,10.3395,11.8069,23.2497,0,0
1.0,corr,2053,251,0.6051,3099.6666,6.2017,12.1504,24.2172,0,0
1.0,link,2053,0,0.0,3018.5897,5.746,11.8907,23.3793,0,0
1.0,corr_link,2053,251,0.6051,3100.217,5.6371,12.3555,23.9979,0,0
0.0,base,2054,0,0.0,3016.574,9.606,10.2099,21.877,0,0
0.0,corr,2054,275,0.5995,3367.1934,10.1439,11.3881,24.1059,0,0
0.0,link,2054,0,0.0,2717.4172,5.3233,10.6554,22.5277,0,0
0.0,corr_link,2054,275,0.5995,3073.03,6.9492,11.6972,23.5444,0,0
0.5,base,2054,0,0.0,3016.574,9.606,10.2099,21.877,0,0
0.5,corr,2054,275,0.5995,3214.6547,8.4277,11.6452,22.9273,0,0
0.5,link,2054,0,0.0,2717.4172,5.3233,10.6554,22.5277,0,0
0.5,corr_link,2054,275,0.5995,3051.1537,6.5551,11.7432,23.9041,0,0
1.0,base,2054,0,0.0,3016.574,9.606,10.2099,21.877,0,0
1.0,corr,2054,275,0.5995,3063.9077,6.4005,11.8251,24.334,0,0
1.0,link,2054,0,0.0,2717.4172,5.3233,10.6554,22.5277,0,0
1.0,corr_link,2054,275,0.5995,2891.2516,5.5556,11.3351,24.9306,0,0
0.0,base,2055,0,0.0,3329.346,9.7535,11.4066,23.6536,0,0
0.0,corr,2055,279,0.6034,3325.0739,9.2926,11.6357,24.4795,0,0
0.0,link,2055,0,0.0,2958.4394,5.733,11.5865,24.4304,0,0
0.0,corr_link,2055,279,0.6034,3085.2636,6.8857,11.7476,24.7896,0,0
0.5,base,2055,0,0.0,3329.346,9.7535,11.4066,23.6536,0,0
0.5,corr,2055,279,0.6034,3265.0124,8.2061,11.887,25.235,0,0
0.5,link,2055,0,0.0,2958.4394,5.733,11.5865,24.4304,0,0
0.5,corr_link,2055,279,0.6034,3072.3274,6.6172,11.8614,25.0591,0,0
1.0,base,2055,0,0.0,3329.346,9.7535,11.4066,23.6536,0,0
1.0,corr,2055,279,0.6034,3053.5538,6.1074,11.9474,25.3246,0,0
1.0,link,2055,0,0.0,2958.4394,5.733,11.5865,24.4304,0,0
1.0,corr_link,2055,279,0.6034,3063.2423,5.5793,12.2224,25.553,0,0
