n_init,p_store,seed,policy,retr,store,resp,dead,leg
120,0.5,2026,io,35.523,27.472,31.548,3.747,3.934
120,0.5,2026,last,33.938,27.472,30.746,0.0,3.132
120,0.5,2026,center,41.013,47.472,44.201,16.775,16.587
120,0.5,2026,demand,35.523,27.472,31.548,3.747,3.934
120,0.5,2026,cog,32.208,34.764,33.47,5.903,5.856
120,0.5,2027,io,35.608,27.272,31.492,3.914,4.101
120,0.5,2027,last,33.593,27.272,30.472,0.0,3.081
120,0.5,2027,center,40.318,47.272,43.751,16.547,16.359
120,0.5,2027,demand,35.608,27.272,31.492,3.914,4.101
120,0.5,2027,cog,31.957,34.595,33.259,5.881,5.868
120,0.5,2028,io,33.138,26.051,29.639,3.329,3.506
120,0.5,2028,last,32.395,26.051,29.263,0.0,3.13
120,0.5,2028,center,40.648,46.051,43.315,17.359,17.182
120,0.5,2028,demand,33.138,26.051,29.639,3.329,3.506
120,0.5,2028,cog,30.872,33.395,32.118,6.077,5.985
120,0.5,2029,io,35.7,26.997,31.404,4.162,4.329
120,0.5,2029,last,34.737,26.997,30.916,0.0,3.842
120,0.5,2029,center,40.515,46.997,43.715,16.808,16.641
120,0.5,2029,demand,35.7,26.997,31.404,4.162,4.329
120,0.5,2029,cog,32.617,34.526,33.559,6.552,6.485
120,0.5,2030,io,36.583,27.308,32.004,4.365,4.544
120,0.5,2030,last,34.12,27.308,30.757,0.0,3.297
120,0.5,2030,center,39.972,47.308,43.594,16.311,16.134
120,0.5,2030,demand,36.583,27.308,32.004,4.365,4.544
120,0.5,2030,cog,32.523,34.938,33.715,6.315,6.256
120,0.5,2031,io,34.782,26.833,30.858,3.838,3.99
120,0.5,2031,last,33.117,26.833,30.015,0.0,3.147
120,0.5,2031,center,40.343,46.833,43.547,16.83,16.678
120,0.5,2031,demand,34.782,26.833,30.858,3.838,3.99
120,0.5,2031,cog,31.922,33.459,32.681,5.968,5.813
120,0.5,2032,io,37.248,28.241,32.801,4.242,4.434
120,0.5,2032,last,35.888,28.241,32.113,0.0,3.746
120,0.5,2032,center,41.47,48.241,44.813,16.638,16.446
120,0.5,2032,demand,37.248,28.241,32.801,4.242,4.434
120,0.5,2032,cog,33.987,34.795,34.386,6.082,6.019
120,0.5,2033,io,38.235,28.959,33.656,4.457,4.624
120,0.5,2033,last,35.633,28.959,32.338,0.0,3.306
120,0.5,2033,center,41.227,48.959,45.044,16.18,16.013
120,0.5,2033,demand,38.235,28.959,33.656,4.457,4.624
120,0.5,2033,cog,33.855,37.605,35.706,6.781,6.675
120,0.5,2034,io,38.64,28.469,33.619,4.899,5.078
120,0.5,2034,last,37.265,28.469,32.923,0.0,4.382
120,0.5,2034,center,42.045,48.469,45.216,16.851,16.676
120,0.5,2034,demand,38.64,28.469,33.619,4.899,5.078
120,0.5,2034,cog,35.035,36.756,35.885,7.511,7.344
120,0.5,2035,io,35.968,27.779,31.925,3.694,3.952
120,0.5,2035,last,33.828,27.779,30.842,0.0,2.868
120,0.5,2035,center,41.333,47.779,44.515,16.709,16.542
120,0.5,2035,demand,35.968,27.779,31.925,3.694,3.952
120,0.5,2035,cog,32.697,35.154,33.91,5.891,5.937
120,0.5,2036,io,38.98,29.221,34.162,4.658,4.841
120,0.5,2036,last,38.495,29.221,33.916,0.0,4.595
120,0.5,2036,center,43.215,49.221,46.18,17.038,16.858
120,0.5,2036,demand,38.98,29.221,34.162,4.658,4.841
120,0.5,2036,cog,36.142,37.087,36.609,7.389,7.287
120,0.5,2037,io,36.002,27.313,31.713,4.068,4.256
120,0.5,2037,last,33.992,27.313,30.695,0.0,3.238
120,0.5,2037,center,40.633,47.313,43.93,16.658,16.473
120,0.5,2037,demand,36.002,27.313,31.713,4.068,4.256
120,0.5,2037,cog,32.29,34.892,33.575,6.157,6.118
120,0.5,2038,io,35.123,26.372,30.803,4.097,4.295
120,0.5,2038,last,33.807,26.372,30.137,0.0,3.629
120,0.5,2038,center,39.4,46.372,42.842,16.532,16.334
120,0.5,2038,demand,35.123,26.372,30.803,4.097,4.295
120,0.5,2038,cog,31.81,34.618,33.196,6.757,6.689
120,0.5,2039,io,39.15,29.674,34.472,4.4,4.638
120,0.5,2039,last,37.792,29.674,33.785,0.0,3.951
120,0.5,2039,center,42.99,49.674,46.29,16.597,16.456
120,0.5,2039,demand,39.15,29.674,34.472,4.4,4.638
120,0.5,2039,cog,35.523,37.89,36.691,6.856,6.857
120,0.5,2040,io,36.035,27.531,31.837,4.033,4.21
120,0.5,2040,last,34.105,27.531,30.859,0.0,3.233
120,0.5,2040,center,39.98,47.531,43.708,16.258,16.081
120,0.5,2040,demand,36.035,27.531,31.837,4.033,4.21
120,0.5,2040,cog,32.495,35.531,33.994,6.395,6.367
120,0.5,2041,io,37.305,28.177,32.799,4.342,4.529
120,0.5,2041,last,34.97,28.177,31.616,0.0,3.347
120,0.5,2041,center,40.61,48.177,44.346,16.263,16.076
120,0.5,2041,demand,37.305,28.177,32.799,4.342,4.529
120,0.5,2041,cog,33.343,36.321,34.813,6.567,6.543
120,0.5,2042,io,38.163,28.841,33.561,4.489,4.638
120,0.5,2042,last,36.15,28.841,32.542,0.0,3.619
120,0.5,2042,center,41.737,48.841,45.244,16.461,16.322
120,0.5,2042,demand,38.163,28.841,33.561,4.489,4.638
120,0.5,2042,cog,34.093,37.621,35.834,7.005,6.911
120,0.5,2043,io,35.983,27.885,31.985,3.697,3.946
120,0.5,2043,last,34.752,27.885,31.362,0.0,3.323
120,0.5,2043,center,42.04,47.885,44.925,17.043,16.886
120,0.5,2043,demand,35.983,27.885,31.985,3.697,3.946
120,0.5,2043,cog,33.218,35.074,34.134,6.123,6.095
120,0.5,2044,io,34.455,25.946,30.254,3.952,4.139
120,0.5,2044,last,32.833,25.946,29.433,0.0,3.318
120,0.5,2044,center,39.7,45.946,42.784,16.856,16.668
120,0.5,2044,demand,34.455,25.946,30.254,3.952,4.139
120,0.5,2044,cog,31.425,33.669,32.533,6.462,6.418
120,0.5,2045,io,35.273,26.472,30.928,4.192,4.359
120,0.5,2045,last,34.417,26.472,30.495,0.0,3.927
120,0.5,2045,center,40.117,46.472,43.254,16.851,16.686
120,0.5,2045,demand,35.273,26.472,30.928,4.192,4.359
120,0.5,2045,cog,32.315,34.431,33.359,6.87,6.791
120,0.5,2046,io,36.877,27.397,32.197,4.58,4.742
120,0.5,2046,last,35.735,27.397,31.619,0.0,4.163
120,0.5,2046,center,40.852,47.397,44.084,16.79,16.628
120,0.5,2046,demand,36.877,27.397,32.197,4.58,4.742
120,0.5,2046,cog,33.385,35.551,34.454,7.084,6.999
120,0.5,2047,io,37.72,28.482,33.159,4.256,4.491
120,0.5,2047,last,35.002,28.482,31.784,0.0,3.115
120,0.5,2047,center,40.95,48.482,44.668,16.142,16.0
120,0.5,2047,demand,37.72,28.482,33.159,4.256,4.491
120,0.5,2047,cog,33.642,36.533,35.07,6.435,6.401
120,0.5,2048,io,34.305,26.021,30.215,3.976,4.143
120,0.5,2048,last,32.583,26.021,29.343,0.0,3.271
120,0.5,2048,center,39.042,46.021,42.487,16.567,16.415
120,0.5,2048,demand,34.305,26.021,30.215,3.976,4.143
120,0.5,2048,cog,30.8,33.897,32.329,6.325,6.257
120,0.5,2049,io,33.697,26.226,30.009,3.504,3.691
120,0.5,2049,last,32.42,26.226,29.362,0.0,3.044
120,0.5,2049,center,39.943,46.226,43.044,16.911,16.727
120,0.5,2049,demand,33.697,26.226,30.009,3.504,3.691
120,0.5,2049,cog,30.775,33.415,32.078,5.832,5.761
120,0.5,2050,io,34.7,26.231,30.519,3.922,4.124
120,0.5,2050,last,33.163,26.231,29.741,0.0,3.346
120,0.5,2050,center,39.855,46.231,43.003,16.81,16.608
120,0.5,2050,demand,34.7,26.231,30.519,3.922,4.124
120,0.5,2050,cog,31.492,33.8,32.632,6.254,6.237
120,0.5,2051,io,36.617,27.579,32.156,4.28,4.482
120,0.5,2051,last,34.002,27.579,30.832,0.0,3.158
120,0.5,2051,center,40.105,47.579,43.795,16.324,16.122
120,0.5,2051,demand,36.617,27.579,32.156,4.28,4.482
120,0.5,2051,cog,32.758,35.426,34.075,6.468,6.401
120,0.5,2052,io,34.508,26.144,30.378,3.98,4.147
120,0.5,2052,last,32.642,26.144,29.434,0.0,3.203
120,0.5,2052,center,39.138,46.144,42.596,16.532,16.365
120,0.5,2052,demand,34.508,26.144,30.378,3.98,4.147
120,0.5,2052,cog,30.863,33.908,32.366,6.146,6.134
120,0.5,2053,io,38.108,28.892,33.558,4.254,4.497
120,0.5,2053,last,37.108,28.892,33.052,0.0,3.991
120,0.5,2053,center,43.205,48.892,46.013,17.104,16.952
120,0.5,2053,demand,38.108,28.892,33.558,4.254,4.497
120,0.5,2053,cog,35.278,36.913,36.085,7.043,7.024
120,0.5,2054,io,34.638,26.279,30.511,3.834,4.067
120,0.5,2054,last,32.86,26.279,29.611,0.0,3.167
120,0.5,2054,center,40.16,46.279,43.181,16.873,16.737
120,0.5,2054,demand,34.638,26.279,30.511,3.834,4.067
120,0.5,2054,cog,31.215,33.203,32.196,5.746,5.752
120,0.5,2055,io,34.41,25.7,30.11,4.149,4.337
120,0.5,2055,last,33.165,25.7,29.48,0.0,3.706
120,0.5,2055,center,38.725,45.7,42.168,16.582,16.395
120,0.5,2055,demand,34.41,25.7,30.11,4.149,4.337
120,0.5,2055,cog,31.095,33.433,32.249,6.496,6.476
120,0.0,2026,io,35.523,27.472,31.548,3.747,3.934
120,0.0,2026,last,33.938,27.472,30.746,0.0,3.132
120,0.0,2026,center,41.013,47.472,44.201,16.775,16.587
120,0.0,2026,demand,32.14,33.113,32.62,4.925,5.006
120,0.0,2026,cog,32.208,34.764,33.47,5.903,5.856
120,0.0,2027,io,35.608,27.272,31.492,3.914,4.101
120,0.0,2027,last,33.593,27.272,30.472,0.0,3.081
120,0.0,2027,center,40.318,47.272,43.751,16.547,16.359
120,0.0,2027,demand,31.835,33.733,32.772,5.296,5.381
120,0.0,2027,cog,31.957,34.595,33.259,5.881,5.868
120,0.0,2028,io,33.138,26.051,29.639,3.329,3.506
120,0.0,2028,last,32.395,26.051,29.263,0.0,3.13
120,0.0,2028,center,40.648,46.051,43.315,17.359,17.182
120,0.0,2028,demand,30.99,32.564,31.767,5.499,5.634
120,0.0,2028,cog,30.872,33.395,32.118,6.077,5.985
120,0.0,2029,io,35.7,26.997,31.404,4.162,4.329
120,0.0,2029,last,34.737,26.997,30.916,0.0,3.842
120,0.0,2029,center,40.515,46.997,43.715,16.808,16.641
120,0.0,2029,demand,32.905,33.408,33.153,6.059,6.078
120,0.0,2029,cog,32.617,34.526,33.559,6.552,6.485
120,0.0,2030,io,36.583,27.308,32.004,4.365,4.544
120,0.0,2030,last,34.12,27.308,30.757,0.0,3.297
120,0.0,2030,center,39.972,47.308,43.594,16.311,16.134
120,0.0,2030,demand,32.538,34.538,33.525,6.035,6.066
120,0.0,2030,cog,32.523,34.938,33.715,6.315,6.256
120,0.0,2031,io,34.782,26.833,30.858,3.838,3.99
120,0.0,2031,last,33.117,26.833,30.015,0.0,3.147
120,0.0,2031,center,40.343,46.833,43.547,16.83,16.678
120,0.0,2031,demand,31.97,33.346,32.649,5.658,5.781
120,0.0,2031,cog,31.922,33.459,32.681,5.968,5.813
120,0.0,2032,io,37.248,28.241,32.801,4.242,4.434
120,0.0,2032,last,35.888,28.241,32.113,0.0,3.746
120,0.0,2032,center,41.47,48.241,44.813,16.638,16.446
120,0.0,2032,demand,34.105,33.215,33.666,5.159,5.299
120,0.0,2032,cog,33.987,34.795,34.386,6.082,6.019
120,0.0,2033,io,38.235,28.959,33.656,4.457,4.624
120,0.0,2033,last,35.633,28.959,32.338,0.0,3.306
120,0.0,2033,center,41.227,48.959,45.044,16.18,16.013
120,0.0,2033,demand,33.962,37.01,35.467,6.399,6.435
120,0.0,2033,cog,33.855,37.605,35.706,6.781,6.675
120,0.0,2034,io,38.64,28.469,33.619,4.899,5.078
120,0.0,2034,last,37.265,28.469,32.923,0.0,4.382
120,0.0,2034,center,42.045,48.469,45.216,16.851,16.676
120,0.0,2034,demand,35.218,35.341,35.278,6.676,6.738
120,0.0,2034,cog,35.035,36.756,35.885,7.511,7.344
120,0.0,2035,io,35.968,27.779,31.925,3.694,3.952
120,0.0,2035,last,33.828,27.779,30.842,0.0,2.868
120,0.0,2035,center,41.333,47.779,44.515,16.709,16.542
120,0.0,2035,demand,32.572,34.651,33.599,5.489,5.625
120,0.0,2035,cog,32.697,35.154,33.91,5.891,5.937
120,0.0,2036,io,38.98,29.221,34.162,4.658,4.841
120,0.0,2036,last,38.495,29.221,33.916,0.0,4.595
120,0.0,2036,center,43.215,49.221,46.18,17.038,16.858
120,0.0,2036,demand,36.263,35.323,35.799,6.37,6.477
120,0.0,2036,cog,36.142,37.087,36.609,7.389,7.287
120,0.0,2037,io,36.002,27.313,31.713,4.068,4.256
120,0.0,2037,last,33.992,27.313,30.695,0.0,3.238
120,0.0,2037,center,40.633,47.313,43.93,16.658,16.473
120,0.0,2037,demand,32.51,33.774,33.134,5.592,5.677
120,0.0,2037,cog,32.29,34.892,33.575,6.157,6.118
120,0.0,2038,io,35.123,26.372,30.803,4.097,4.295
120,0.0,2038,last,33.807,26.372,30.137,0.0,3.629
120,0.0,2038,center,39.4,46.372,42.842,16.532,16.334
120,0.0,2038,demand,31.977,34.474,33.21,6.613,6.703
120,0.0,2038,cog,31.81,34.618,33.196,6.757,6.689
120,0.0,2039,io,39.15,29.674,34.472,4.4,4.638
120,0.0,2039,last,37.792,29.674,33.785,0.0,3.951
120,0.0,2039,center,42.99,49.674,46.29,16.597,16.456
120,0.0,2039,demand,35.778,37.367,36.562,6.584,6.728
120,0.0,2039,cog,35.523,37.89,36.691,6.856,6.857
120,0.0,2040,io,36.035,27.531,31.837,4.033,4.21
120,0.0,2040,last,34.105,27.531,30.859,0.0,3.233
120,0.0,2040,center,39.98,47.531,43.708,16.258,16.081
120,0.0,2040,demand,32.72,34.813,33.753,6.056,6.127
120,0.0,2040,cog,32.495,35.531,33.994,6.395,6.367
120,0.0,2041,io,37.305,28.177,32.799,4.342,4.529
120,0.0,2041,last,34.97,28.177,31.616,0.0,3.347
120,0.0,2041,center,40.61,48.177,44.346,16.263,16.076
120,0.0,2041,demand,33.625,34.638,34.125,5.77,5.856
120,0.0,2041,cog,33.343,36.321,34.813,6.567,6.543
120,0.0,2042,io,38.163,28.841,33.561,4.489,4.638
120,0.0,2042,last,36.15,28.841,32.542,0.0,3.619
120,0.0,2042,center,41.737,48.841,45.244,16.461,16.322
120,0.0,2042,demand,34.705,36.674,35.677,6.616,6.754
120,0.0,2042,cog,34.093,37.621,35.834,7.005,6.911
120,0.0,2043,io,35.983,27.885,31.985,3.697,3.946
120,0.0,2043,last,34.752,27.885,31.362,0.0,3.323
120,0.0,2043,center,42.04,47.885,44.925,17.043,16.886
120,0.0,2043,demand,33.188,32.436,32.816,4.591,4.777
120,0.0,2043,cog,33.218,35.074,34.134,6.123,6.095
120,0.0,2044,io,34.455,25.946,30.254,3.952,4.139
120,0.0,2044,last,32.833,25.946,29.433,0.0,3.318
120,0.0,2044,center,39.7,45.946,42.784,16.856,16.668
120,0.0,2044,demand,31.312,32.459,31.878,5.667,5.763
120,0.0,2044,cog,31.425,33.669,32.533,6.462,6.418
120,0.0,2045,io,35.273,26.472,30.928,4.192,4.359
120,0.0,2045,last,34.417,26.472,30.495,0.0,3.927
120,0.0,2045,center,40.117,46.472,43.254,16.851,16.686
120,0.0,2045,demand,32.358,33.754,33.047,6.418,6.478
120,0.0,2045,cog,32.315,34.431,33.359,6.87,6.791
120,0.0,2046,io,36.877,27.397,32.197,4.58,4.742
120,0.0,2046,last,35.735,27.397,31.619,0.0,4.163
120,0.0,2046,center,40.852,47.397,44.084,16.79,16.628
120,0.0,2046,demand,33.415,35.038,34.216,6.729,6.761
120,0.0,2046,cog,33.385,35.551,34.454,7.084,6.999
120,0.0,2047,io,37.72,28.482,33.159,4.256,4.491
120,0.0,2047,last,35.002,28.482,31.784,0.0,3.115
120,0.0,2047,center,40.95,48.482,44.668,16.142,16.0
120,0.0,2047,demand,33.892,36.174,35.019,6.234,6.351
120,0.0,2047,cog,33.642,36.533,35.07,6.435,6.401
120,0.0,2048,io,34.305,26.021,30.215,3.976,4.143
120,0.0,2048,last,32.583,26.021,29.343,0.0,3.271
120,0.0,2048,center,39.042,46.021,42.487,16.567,16.415
120,0.0,2048,demand,30.94,33.251,32.081,5.978,6.009
120,0.0,2048,cog,30.8,33.897,32.329,6.325,6.257
120,0.0,2049,io,33.697,26.226,30.009,3.504,3.691
120,0.0,2049,last,32.42,26.226,29.362,0.0,3.044
120,0.0,2049,center,39.943,46.226,43.044,16.911,16.727
120,0.0,2049,demand,31.043,31.918,31.475,5.042,5.157
120,0.0,2049,cog,30.775,33.415,32.078,5.832,5.761
120,0.0,2050,io,34.7,26.231,30.519,3.922,4.124
120,0.0,2050,last,33.163,26.231,29.741,0.0,3.346
120,0.0,2050,center,39.855,46.231,43.003,16.81,16.608
120,0.0,2050,demand,31.692,33.103,32.389,5.906,5.994
120,0.0,2050,cog,31.492,33.8,32.632,6.254,6.237
120,0.0,2051,io,36.617,27.579,32.156,4.28,4.482
120,0.0,2051,last,34.002,27.579,30.832,0.0,3.158
120,0.0,2051,center,40.105,47.579,43.795,16.324,16.122
120,0.0,2051,demand,32.815,34.81,33.8,6.077,6.127
120,0.0,2051,cog,32.758,35.426,34.075,6.468,6.401
120,0.0,2052,io,34.508,26.144,30.378,3.98,4.147
120,0.0,2052,last,32.642,26.144,29.434,0.0,3.203
120,0.0,2052,center,39.138,46.144,42.596,16.532,16.365
120,0.0,2052,demand,30.828,33.426,32.11,5.792,5.878
120,0.0,2052,cog,30.863,33.908,32.366,6.146,6.134
120,0.0,2053,io,38.108,28.892,33.558,4.254,4.497
120,0.0,2053,last,37.108,28.892,33.052,0.0,3.991
120,0.0,2053,center,43.205,48.892,46.013,17.104,16.952
120,0.0,2053,demand,35.153,34.892,35.024,5.804,5.963
120,0.0,2053,cog,35.278,36.913,36.085,7.043,7.024
120,0.0,2054,io,34.638,26.279,30.511,3.834,4.067
120,0.0,2054,last,32.86,26.279,29.611,0.0,3.167
120,0.0,2054,center,40.16,46.279,43.181,16.873,16.737
120,0.0,2054,demand,31.198,33.1,32.137,5.608,5.692
120,0.0,2054,cog,31.215,33.203,32.196,5.746,5.752
120,0.0,2055,io,34.41,25.7,30.11,4.149,4.337
120,0.0,2055,last,33.165,25.7,29.48,0.0,3.706
120,0.0,2055,center,38.725,45.7,42.168,16.582,16.395
120,0.0,2055,demand,31.21,32.931,32.059,6.251,6.286
120,0.0,2055,cog,31.095,33.433,32.249,6.496,6.476
