turnover,seed,delta,retr_mean,retr_late,tot_time,reslot_t,moves,fails,final_q
10,2026,0.15,34.445,36.04,13561.5,115.5,3,0,8.642
10,2026,0.0,34.36,35.755,13523.0,119.5,3,0,8.377
10,2027,0.15,35.115,36.73,13885.0,229.0,5,0,8.69
10,2027,0.0,34.547,35.07,13565.0,275.0,6,0,8.156
10,2028,0.15,35.108,36.905,13760.5,465.0,12,0,8.641
10,2028,0.0,34.788,36.17,13628.0,517.0,12,0,7.403
10,2029,0.15,36.535,37.735,14310.5,396.5,11,0,8.441
10,2029,0.0,35.425,36.465,13970.0,403.0,11,0,8.064
10,2030,0.15,34.35,33.32,13491.0,198.0,6,0,8.967
10,2030,0.0,33.678,33.08,13221.0,134.0,4,0,8.376
10,2031,0.15,36.52,39.83,14400.5,138.0,4,0,9.628
10,2031,0.0,35.835,38.97,14063.5,88.0,2,0,8.989
10,2032,0.15,35.355,37.575,13914.0,620.0,14,0,7.64
10,2032,0.0,34.78,37.055,13724.5,643.0,15,0,7.228
10,2033,0.15,37.83,40.355,14999.0,231.5,6,0,9.43
10,2033,0.0,36.523,37.65,14359.0,234.0,6,0,8.797
10,2034,0.15,39.225,41.17,15496.5,146.0,4,0,10.204
10,2034,0.0,37.18,39.135,14624.5,225.0,6,0,8.831
10,2035,0.15,36.278,37.785,14224.0,255.0,6,0,8.323
10,2035,0.0,35.458,36.215,13896.0,250.5,6,0,8.257
10,2036,0.15,38.565,38.47,15154.5,242.5,7,0,9.073
10,2036,0.0,36.9,37.25,14530.5,322.5,8,0,8.047
10,2037,0.15,37.475,37.41,14747.5,193.0,6,0,8.694
10,2037,0.0,36.513,36.71,14362.5,199.5,6,0,8.204
10,2038,0.15,35.33,34.795,13915.5,439.5,11,0,8.905
10,2038,0.0,34.403,34.35,13594.0,373.5,9,0,8.552
10,2039,0.15,37.032,36.34,14527.5,564.0,14,0,8.352
10,2039,0.0,35.71,35.38,13998.5,581.0,14,0,7.684
10,2040,0.15,34.93,36.545,13817.0,360.0,9,0,8.916
10,2040,0.0,34.542,35.84,13608.0,357.0,9,0,8.551
10,2041,0.15,35.252,36.5,13877.0,381.5,11,0,8.268
10,2041,0.0,35.218,36.56,13809.0,381.5,11,0,7.846
10,2042,0.15,37.557,37.375,14698.0,0.0,0,0,9.267
10,2042,0.0,36.225,36.9,14210.0,0.0,0,0,8.528
10,2043,0.15,38.943,38.245,15301.0,166.0,4,0,9.749
10,2043,0.0,35.135,36.55,13791.0,148.5,3,0,8.55
10,2044,0.15,34.852,35.95,13703.5,334.0,8,0,6.614
10,2044,0.0,34.16,34.745,13435.5,439.0,12,0,6.022
10,2045,0.15,35.725,38.22,14071.5,367.5,11,0,8.733
10,2045,0.0,34.46,35.775,13610.5,403.5,11,0,7.99
10,2046,0.15,36.3,37.415,14333.0,162.5,5,0,9.799
10,2046,0.0,35.1,36.51,13844.0,222.0,6,0,8.683
10,2047,0.15,34.66,35.96,13653.0,218.0,6,0,8.072
10,2047,0.0,34.383,35.31,13589.0,156.0,4,0,8.181
10,2048,0.15,35.765,36.855,14105.5,36.0,1,0,9.21
10,2048,0.0,34.562,35.285,13575.0,36.0,1,0,8.41
10,2049,0.15,33.188,34.78,13021.5,346.0,8,0,7.309
10,2049,0.0,33.188,34.69,13021.5,355.0,8,0,6.937
10,2050,0.15,37.39,37.94,14731.0,140.0,4,0,8.213
10,2050,0.0,36.97,37.585,14563.0,140.0,4,0,8.117
10,2051,0.15,35.047,34.58,13823.0,118.0,4,0,8.329
10,2051,0.0,35.34,34.855,13881.5,118.0,4,0,8.304
10,2052,0.15,33.59,33.87,13257.5,438.5,12,0,7.03
10,2052,0.0,33.895,34.405,13322.5,498.5,13,0,6.666
10,2053,0.15,39.34,40.455,15421.0,257.0,7,0,9.957
10,2053,0.0,35.575,35.07,14036.5,256.5,7,0,8.896
10,2054,0.15,34.55,35.145,13567.5,199.0,6,0,8.008
10,2054,0.0,34.055,34.665,13365.0,315.0,8,0,7.759
10,2055,0.15,35.907,34.64,14232.5,89.0,2,0,9.009
10,2055,0.0,35.472,35.4,14000.0,0.0,0,0,8.818
3,2026,0.15,35.01,35.945,13640.0,81.0,2,0,9.264
3,2026,0.0,34.508,35.475,13539.0,82.0,2,0,9.197
3,2027,0.15,35.91,37.875,14145.5,66.0,2,0,7.371
3,2027,0.0,35.932,37.335,14141.0,66.0,2,0,7.174
3,2028,0.15,40.345,41.31,15848.0,259.0,6,0,9.104
3,2028,0.0,34.688,35.69,13663.5,316.5,7,0,7.508
3,2029,0.15,38.245,40.635,14980.0,0.0,0,0,8.921
3,2029,0.0,35.7,36.42,14074.5,102.0,2,0,8.828
3,2030,0.15,36.377,37.055,14379.5,108.0,3,0,9.513
3,2030,0.0,35.977,36.765,14174.0,108.5,3,0,8.917
3,2031,0.15,37.455,38.255,14643.5,238.0,6,0,9.444
3,2031,0.0,36.752,38.695,14412.0,310.0,8,0,9.127
3,2032,0.15,37.523,39.84,14893.5,152.0,4,0,8.951
3,2032,0.0,36.39,37.95,14391.0,152.0,4,0,8.253
3,2033,0.15,36.682,38.335,14443.5,0.0,0,0,9.93
3,2033,0.0,35.267,35.48,13828.0,0.0,0,0,9.068
3,2034,0.15,39.575,37.97,15587.0,98.5,2,0,9.369
3,2034,0.0,35.75,35.875,14093.0,77.0,2,0,8.084
3,2035,0.15,36.35,38.635,14351.5,145.0,4,0,9.626
3,2035,0.0,35.13,36.66,13732.0,145.0,4,0,8.898
3,2036,0.15,37.712,38.39,14715.0,83.0,2,0,7.531
3,2036,0.0,36.065,37.13,14146.0,101.0,2,0,6.766
3,2037,0.15,38.375,39.325,15010.0,84.0,2,0,9.363
3,2037,0.0,36.15,35.735,14219.0,84.0,2,0,9.176
3,2038,0.15,36.587,37.67,14407.0,424.0,10,0,9.763
3,2038,0.0,34.748,35.46,13716.0,449.0,10,0,8.628
3,2039,0.15,39.605,39.89,15602.5,75.0,2,0,9.327
3,2039,0.0,36.733,36.62,14354.5,84.0,2,0,8.223
3,2040,0.15,36.568,36.075,14444.5,199.0,5,0,8.164
3,2040,0.0,35.465,35.35,14002.0,218.0,5,0,7.65
3,2041,0.15,37.175,37.705,14629.0,57.0,1,0,9.705
3,2041,0.0,35.218,34.615,13796.5,57.0,1,0,9.043
3,2042,0.15,37.67,37.565,14698.5,126.0,4,0,9.973
3,2042,0.0,36.57,36.6,14357.5,126.0,4,0,9.002
3,2043,0.15,39.417,40.72,15395.5,0.0,0,0,9.211
3,2043,0.0,37.072,37.245,14507.0,0.0,0,0,8.565
3,2044,0.15,36.62,36.085,14361.0,100.0,3,0,8.952
3,2044,0.0,35.523,35.185,14035.5,149.0,3,0,8.249
3,2045,0.15,35.495,35.075,13872.0,209.0,5,0,9.321
3,2045,0.0,34.562,33.56,13593.5,248.5,6,0,8.367
3,2046,0.15,37.06,36.8,14578.5,360.5,9,0,6.841
3,2046,0.0,35.455,35.72,13986.0,325.0,7,0,6.167
3,2047,0.15,36.95,38.845,14519.0,258.0,7,0,9.693
3,2047,0.0,36.155,37.75,14204.0,255.5,7,0,9.308
3,2048,0.15,37.475,36.725,14692.5,0.0,0,0,9.288
3,2048,0.0,35.76,36.2,14006.5,0.0,0,0,8.558
3,2049,0.15,35.855,36.98,14065.0,189.5,5,0,8.653
3,2049,0.0,35.157,35.99,13777.0,198.5,5,0,8.148
3,2050,0.15,35.845,36.105,14166.5,73.0,2,0,8.815
3,2050,0.0,35.965,36.355,14165.0,73.0,2,0,8.522
3,2051,0.15,36.46,37.885,14432.5,191.0,5,0,8.93
3,2051,0.0,36.758,38.04,14502.0,191.0,5,0,8.651
3,2052,0.15,35.203,36.205,13936.5,74.0,2,0,9.255
3,2052,0.0,35.153,35.91,13808.5,75.0,2,0,8.809
3,2053,0.15,39.858,41.545,15576.0,101.0,2,0,9.955
3,2053,0.0,35.77,36.48,14134.5,93.0,2,0,8.949
3,2054,0.15,35.355,35.07,13948.5,150.0,4,0,8.394
3,2054,0.0,35.21,35.28,13836.5,186.0,4,0,7.957
3,2055,0.15,38.648,38.745,15429.0,171.0,5,0,9.623
3,2055,0.0,35.39,35.85,13968.5,197.0,5,0,8.73
2,2026,0.15,37.203,37.045,14589.5,0.0,0,0,8.867
2,2026,0.0,36.56,36.91,14431.5,0.0,0,0,8.99
2,2027,0.15,35.428,35.28,13949.5,52.0,2,0,9.22
2,2027,0.0,35.165,35.875,13795.0,58.0,2,0,8.808
2,2028,0.15,36.915,36.2,14531.5,124.0,4,0,8.831
2,2028,0.0,35.07,35.905,13829.5,124.0,4,0,7.915
2,2029,0.15,39.21,42.005,15495.0,48.0,2,0,8.651
2,2029,0.0,37.282,38.73,14715.0,47.0,2,0,8.116
2,2030,0.15,35.935,37.675,14447.0,39.5,1,0,10.353
2,2030,0.0,34.815,35.255,13751.5,82.0,2,0,8.528
2,2031,0.15,39.773,41.755,15508.5,48.0,2,0,9.178
2,2031,0.0,37.242,37.83,14591.0,48.0,2,0,9.273
2,2032,0.15,37.78,40.415,15143.0,73.0,2,0,10.036
2,2032,0.0,36.79,38.185,14486.0,73.0,2,0,8.685
2,2033,0.15,36.388,37.54,14276.5,260.0,6,0,9.329
2,2033,0.0,35.38,36.045,13823.0,349.0,8,0,8.742
2,2034,0.15,38.645,37.91,15183.5,0.0,0,0,10.288
2,2034,0.0,35.547,34.89,14024.5,44.0,1,0,8.921
2,2035,0.15,39.083,39.645,15348.5,0.0,0,0,9.947
2,2035,0.0,36.305,37.105,14237.5,0.0,0,0,9.262
2,2036,0.15,39.365,41.115,15300.5,0.0,0,0,9.538
2,2036,0.0,36.23,37.39,14245.0,41.5,1,0,9.014
2,2037,0.15,39.913,43.065,15562.0,0.0,0,0,9.426
2,2037,0.0,36.505,38.175,14298.0,0.0,0,0,8.855
2,2038,0.15,36.23,36.835,14351.5,315.0,10,0,10.127
2,2038,0.0,35.083,36.445,13798.0,207.5,7,0,8.799
2,2039,0.15,39.097,40.3,15414.0,42.0,2,0,9.545
2,2039,0.0,38.095,38.885,14851.0,108.0,4,0,8.886
2,2040,0.15,35.167,36.24,13870.5,308.0,8,0,9.308
2,2040,0.0,34.273,34.38,13530.0,310.0,8,0,8.487
2,2041,0.15,36.102,35.425,14239.5,135.0,4,0,8.877
2,2041,0.0,35.193,35.195,13830.5,143.5,4,0,8.113
2,2042,0.15,39.417,43.885,15371.5,0.0,0,0,9.673
2,2042,0.0,36.11,37.55,14147.5,0.0,0,0,8.803
2,2043,0.15,37.688,38.955,14796.0,94.0,2,0,8.297
2,2043,0.0,35.46,35.69,13927.5,145.5,3,0,7.872
2,2044,0.15,36.767,37.625,14359.5,135.0,4,0,9.182
2,2044,0.0,35.71,36.065,14087.5,141.5,4,0,8.738
2,2045,0.15,36.885,38.275,14357.0,0.0,0,0,9.968
2,2045,0.0,35.888,36.455,14057.0,0.0,0,0,8.928
2,2046,0.15,36.25,37.535,14368.5,199.0,4,0,7.372
2,2046,0.0,35.977,37.4,14232.5,208.0,4,0,6.587
2,2047,0.15,36.688,36.9,14469.0,140.5,3,0,9.428
2,2047,0.0,34.953,36.57,13725.5,140.5,3,0,8.558
2,2048,0.15,36.66,36.76,14409.0,32.0,1,0,9.447
2,2048,0.0,35.08,34.99,13777.0,32.0,1,0,8.758
2,2049,0.15,36.508,36.945,14539.0,128.5,3,0,9.582
2,2049,0.0,35.862,36.445,14123.5,128.5,3,0,8.475
2,2050,0.15,35.98,35.65,14166.0,144.0,4,0,8.585
2,2050,0.0,35.737,35.685,14069.0,144.0,4,0,8.506
2,2051,0.15,36.778,37.645,14567.0,0.0,0,0,9.465
2,2051,0.0,36.288,36.59,14272.0,0.0,0,0,9.144
2,2052,0.15,36.17,37.24,14504.5,75.0,2,0,9.682
2,2052,0.0,35.648,36.465,14047.0,112.5,3,0,8.857
2,2053,0.15,38.697,41.55,15355.5,44.5,1,0,10.576
2,2053,0.0,34.585,35.435,13563.0,52.5,1,0,8.694
2,2054,0.15,36.2,36.905,14179.0,107.0,3,0,8.528
2,2054,0.0,35.17,36.14,13878.5,115.5,3,0,8.43
2,2055,0.15,36.312,37.785,14718.5,169.5,5,0,9.781
2,2055,0.0,34.797,35.885,13730.0,208.5,5,0,8.318
