cycle,q_near_none,q_near_nightly,q_near_triggered,q_score_none,q_score_nightly,q_score_triggered
1,6.471,6.471,6.471,6.471,6.471,6.471
2,6.8992,6.8992,6.8992,6.8992,6.8992,6.8992
3,6.8663,6.8663,6.8663,6.8663,6.8663,6.8663
4,7.2007,7.2007,7.2007,7.2007,7.2007,7.2007
5,7.2279,7.2279,7.2279,7.2279,7.2279,7.2279
6,7.1915,7.1915,7.1915,7.1915,7.1915,7.1915
7,6.8468,6.8468,6.8468,6.8468,6.8468,6.8468
8,6.818,6.818,6.818,6.8204,6.8204,6.8204
9,6.6712,6.6712,6.6712,6.642,6.642,6.642
10,6.639,6.639,6.639,6.6191,6.6191,6.6191
11,6.581,6.581,6.581,6.5476,6.5476,6.5476
12,6.8071,6.8071,6.8071,6.774,6.774,6.774
13,6.7931,6.7931,6.7931,6.7509,6.7509,6.7509
14,6.9405,6.9405,6.9405,6.9323,6.9323,6.9323
15,7.3235,7.3235,7.3235,7.3131,7.3131,7.3131
16,7.6367,7.6367,7.6367,7.6257,7.6257,7.6257
17,7.4513,7.4513,7.4513,7.4406,7.4406,7.4406
18,7.5168,7.5168,7.5168,7.5061,7.5061,7.5061
19,7.203,7.203,7.203,7.193,7.193,7.193
20,7.6967,7.6967,7.6967,7.6868,7.6868,7.6868
21,7.5505,7.5505,7.5505,7.541,7.541,7.541
22,7.472,7.472,7.472,7.4624,7.4624,7.4624
23,7.4795,7.4795,7.4795,7.4699,7.4699,7.4699
24,7.4817,7.4817,7.4817,7.4721,7.4721,7.4721
25,7.4619,7.4619,7.4619,7.4523,7.4523,7.4523
26,7.4864,7.4864,7.4864,7.4768,7.4768,7.4768
27,7.5043,7.5043,7.5043,7.4948,7.4948,7.4948
28,7.4348,7.4348,7.4348,7.4253,7.4253,7.4253
29,7.5005,7.5005,7.5005,7.4907,7.4907,7.4907
30,7.4051,7.4051,7.4051,7.3959,7.3959,7.3959
31,7.5048,7.5048,7.5048,7.495,7.495,7.495
32,7.5024,7.5024,7.5024,7.4926,7.4926,7.4926
33,7.4743,7.4743,7.4743,7.4646,7.4646,7.4646
34,7.5334,7.5334,7.5334,7.5238,7.5238,7.5238
35,7.5703,7.5703,7.5703,7.5607,7.5607,7.5607
36,7.3202,7.3202,7.3202,7.3111,7.3111,7.3111
37,7.3142,7.3142,7.3142,7.3052,7.3052,7.3052
38,7.3562,7.3562,7.3562,7.3472,7.3472,7.3472
39,7.5653,7.5653,7.5653,7.5557,7.5557,7.5557
40,7.5017,7.5017,7.5017,7.492,7.492,7.492
41,7.3294,7.3294,7.3294,7.3191,7.3191,7.3191
42,7.3573,7.3573,7.3573,7.347,7.347,7.347
43,7.3786,7.3786,7.3786,7.3681,7.3681,7.3681
44,7.3637,7.3637,7.3637,7.3538,7.3538,7.3538
45,7.2219,7.2219,7.2219,7.2119,7.2119,7.2119
46,7.7546,7.7546,7.7546,7.7447,7.7447,7.7447
47,7.6958,7.6958,7.6958,7.686,7.686,7.686
48,7.7268,7.7268,7.7268,7.7172,7.7172,7.7172
49,7.7345,7.7345,7.7345,7.7249,7.7249,7.7249
50,7.7422,7.7422,7.7422,7.7327,7.7327,7.7327
51,8.0341,8.0341,8.0341,8.025,8.025,8.025
52,8.184,8.184,8.184,8.1743,8.1743,8.1743
53,8.5156,8.5156,8.5156,8.5054,8.5054,8.5054
54,8.3866,8.3866,8.3866,8.3915,8.3915,8.3915
55,8.3802,8.3802,8.3802,8.3796,8.3796,8.3796
56,8.5297,8.5297,8.5297,8.529,8.529,8.529
57,7.7508,7.7508,7.7508,7.7501,7.7501,7.7501
58,8.554,8.554,8.554,8.5534,8.5534,8.5534
59,8.4216,8.4216,8.4216,8.4209,8.4209,8.4209
60,8.5843,8.5843,8.5843,8.5837,8.5837,8.5837
61,8.5287,8.5287,8.5287,8.528,8.528,8.528
62,8.178,8.178,8.178,8.1774,8.1774,8.1774
63,8.3276,8.3276,8.3276,8.327,8.327,8.327
64,8.2932,8.2932,8.2932,8.2926,8.2926,8.2926
65,8.5613,8.5613,8.5613,8.5607,8.5607,8.5607
66,8.4742,8.4742,8.4742,8.4736,8.4736,8.4736
67,8.2317,8.2317,8.2317,8.2311,8.2311,8.2311
68,8.2766,8.2766,8.2766,8.276,8.276,8.276
69,8.2988,8.2988,8.2988,8.2982,8.2982,8.2982
70,8.2118,8.2118,8.2118,8.2112,8.2112,8.2112
71,8.069,8.069,8.069,8.0684,8.0684,8.0684
72,8.3811,8.3811,8.3811,8.3805,8.3805,8.3805
73,8.3853,8.3853,8.3853,8.3847,8.3847,8.3847
74,8.2892,8.2892,8.2892,8.2886,8.2886,8.2886
75,8.3372,8.3372,8.3372,8.3366,8.3366,8.3366
76,7.8693,7.8693,7.8693,7.8687,7.8687,7.8687
77,7.8679,7.8679,7.8679,7.8673,7.8673,7.8673
78,8.0489,8.0489,8.0489,8.0483,8.0483,8.0483
79,8.0924,8.0924,8.0924,8.0918,8.0918,8.0918
80,8.1415,8.1415,8.1415,8.1409,8.1409,8.1409
81,7.9068,7.9068,7.9068,7.9063,7.9063,7.9063
82,7.8058,7.8058,7.8058,7.8052,7.8052,7.8052
83,7.8436,7.8436,7.8436,7.843,7.843,7.843
84,7.9235,7.9235,7.9235,7.923,7.923,7.923
85,7.88,7.88,7.88,7.8794,7.8794,7.8794
86,8.2149,8.2149,8.2149,8.2143,8.2143,8.2143
87,7.7554,7.7554,7.7554,7.7548,7.7548,7.7548
88,7.7794,7.7794,7.7794,7.7787,7.7787,7.7787
89,7.7391,7.7391,7.7391,7.7385,7.7385,7.7385
90,7.9179,7.9179,7.9179,7.9173,7.9173,7.9173
91,8.3474,8.3474,8.3474,8.3469,8.3469,8.3469
92,8.3745,8.3745,8.3745,8.374,8.374,8.374
93,8.5187,8.5187,8.5187,8.5181,8.5181,8.5181
94,8.4132,8.4132,8.4132,8.4126,8.4126,8.4126
95,7.9731,7.9731,7.9731,7.9725,7.9725,7.9725
96,8.0607,8.0607,8.0607,8.06,8.06,8.06
97,8.1933,8.1933,8.1933,8.1926,8.1926,8.1926
98,8.0777,8.0777,8.0777,8.0771,8.0771,8.0771
99,8.059,8.059,8.059,8.0583,8.0583,8.0583
100,8.1697,7.0078,7.0078,8.1691,7.0072,7.0072
101,8.057,7.57,7.57,8.0564,7.5694,7.5694
102,8.1864,7.0966,7.0966,8.1858,7.096,7.096
103,7.9953,6.8836,6.8836,7.9947,6.883,6.883
104,7.8969,7.3972,7.3972,7.8963,7.3966,7.3966
105,7.9348,7.2699,7.2699,7.9342,7.2693,7.2693
106,7.9829,7.3602,7.3602,7.9823,7.3596,7.3596
107,7.9875,7.3561,7.3561,7.9869,7.3555,7.3555
108,7.9124,7.2988,7.2988,7.9118,7.2982,7.2982
109,8.1317,7.5458,7.5458,8.1311,7.5453,7.5453
110,8.2182,7.8286,7.8286,8.2176,7.828,7.828
111,8.257,7.8121,7.8121,8.2564,7.8115,7.8115
112,8.3416,7.8978,7.8978,8.341,7.8972,7.8972
113,8.3136,7.8692,7.8692,8.313,7.8687,7.8687
114,8.4546,8.0071,8.0071,8.454,8.0065,8.0065
115,8.2527,8.1349,8.1349,8.2521,8.1343,8.1343
116,8.2523,7.9825,7.9825,8.2517,7.9819,7.9819
117,8.2141,7.9494,7.9494,8.2135,7.9489,7.9489
118,8.2495,8.0315,8.0315,8.2489,8.0309,8.0309
119,8.1815,7.8588,7.8588,8.181,7.8582,7.8582
120,8.4557,8.1459,8.1459,8.4552,8.1453,8.1453
121,8.6786,8.3553,8.3553,8.678,8.3547,8.3547
122,8.6827,8.3587,8.3587,8.6821,8.3582,8.3582
123,8.6509,8.327,8.327,8.6504,8.3264,8.3264
124,8.6445,8.3212,8.3212,8.644,8.3207,8.3207
125,8.7093,8.3859,8.3859,8.7087,8.3853,8.3853
126,8.4861,8.1764,8.1764,8.4855,8.1758,8.1758
127,8.2664,7.9382,7.9382,8.2659,7.9377,7.9377
128,8.3289,7.9791,7.9791,8.3283,7.9785,7.9785
129,8.3496,7.9975,7.9975,8.349,7.9969,7.9969
130,8.4957,8.1337,8.1337,8.495,8.1331,8.1331
131,8.4198,8.0568,8.0568,8.4192,8.0562,8.0562
132,8.9053,8.5656,8.5656,8.9047,8.565,8.565
133,9.6676,9.3359,9.3359,9.667,9.3353,9.3353
134,9.6333,9.3026,9.3026,9.6327,9.302,9.302
135,9.5083,9.1877,9.1877,9.5077,9.1871,9.1871
136,9.5205,9.1999,9.1999,9.52,9.1993,9.1993
137,9.5985,9.2754,9.2754,9.5979,9.2749,9.2749
138,9.3754,9.0564,9.0564,9.3749,9.0558,9.0558
139,9.4342,9.1101,9.1101,9.4336,9.1095,9.1095
140,8.9134,8.5662,8.5662,8.9128,8.5656,8.5656
141,8.9383,8.5907,8.5907,8.9377,8.5901,8.5901
142,9.2952,8.9327,8.9327,9.2946,8.9321,8.9321
143,9.133,8.7752,8.7752,9.1323,8.7746,8.7746
144,9.0349,8.6757,8.6757,9.0343,8.6751,8.6751
145,9.0921,8.7584,8.7584,9.0916,8.7578,8.7578
146,9.064,8.7069,8.7069,9.0634,8.7063,8.7063
147,9.1574,8.8146,8.8146,9.1568,8.814,8.814
148,9.0407,8.7049,8.7049,9.0401,8.7043,8.7043
149,9.1075,8.7793,8.7793,9.1069,8.7787,8.7787
150,9.1813,8.9592,8.9592,9.1807,8.9586,8.9586
151,9.0448,8.5234,8.5234,9.0442,8.5229,8.5229
152,8.9837,8.4654,8.4654,8.9832,8.4648,8.4648
153,9.1719,8.95,8.95,9.1713,8.9495,8.9495
154,9.1205,8.8744,8.8744,9.1199,8.8738,8.8738
155,9.1935,8.9481,8.9481,9.1929,8.9475,8.9475
156,8.6714,8.4106,8.4106,8.6707,8.4099,8.4099
157,8.7647,8.5032,8.5032,8.764,8.5026,8.5026
158,8.2626,8.0203,8.0203,8.262,8.0197,8.0197
159,8.0528,7.8213,7.8213,8.0522,7.8207,7.8207
160,8.0649,7.8369,7.8369,8.0643,7.8363,7.8363
161,7.9983,7.7776,7.7776,7.9977,7.7771,7.7771
162,7.938,7.7171,7.7171,7.9374,7.7165,7.7165
163,8.1341,7.9059,7.9059,8.1336,7.9053,7.9053
164,8.1537,7.9217,7.9217,8.1531,7.9211,7.9211
165,8.3544,8.112,8.112,8.3538,8.1114,8.1114
166,8.1543,7.9156,7.9156,8.1537,7.915,7.915
167,8.3423,8.0888,8.0888,8.3417,8.0882,8.0882
168,8.2592,8.0144,8.0144,8.2586,8.0138,8.0138
169,8.2017,7.9617,7.9617,8.2011,7.9611,7.9611
170,8.4977,8.2683,8.2683,8.4971,8.2677,8.2677
171,8.5015,8.2707,8.2707,8.5009,8.2701,8.2701
172,8.5015,8.2707,8.2707,8.5009,8.2701,8.2701
173,8.4984,8.2663,8.2663,8.4978,8.2657,8.2657
174,8.5514,8.3174,8.3174,8.5508,8.3168,8.3168
175,8.6216,8.38,8.38,8.621,8.3794,8.3794
176,8.4715,8.2289,8.2289,8.4708,8.2283,8.2283
177,8.6769,8.449,8.449,8.6763,8.4484,8.4484
178,8.4363,8.1981,8.1981,8.4357,8.1975,8.1975
179,8.554,8.313,8.313,8.5534,8.3124,8.3124
180,8.9699,8.7194,8.7194,8.9692,8.7188,8.7188
181,8.5459,8.2842,8.2842,8.5452,8.2836,8.2836
182,8.5752,8.3129,8.3129,8.5746,8.3122,8.3122
183,8.4531,8.2051,8.2051,8.4525,8.2045,8.2045
184,8.5262,8.2812,8.2812,8.5256,8.2806,8.2806
185,8.1952,7.967,7.967,8.1947,7.9664,7.9664
186,8.2754,8.0573,8.0573,8.2749,8.0568,8.0568
187,8.2915,8.0701,8.0701,8.291,8.0695,8.0695
188,8.3051,8.0829,8.0829,8.3046,8.0823,8.0823
189,8.2817,8.0609,8.0609,8.2811,8.0604,8.0604
190,8.3783,8.1465,8.1465,8.3777,8.1459,8.1459
191,8.3634,8.1339,8.1339,8.3628,8.1333,8.1333
192,8.3458,8.1186,8.1186,8.3453,8.1181,8.1181
193,8.3022,8.0754,8.0754,8.3016,8.0748,8.0748
194,8.3474,8.1201,8.1201,8.3468,8.1196,8.1196
195,8.0799,7.8632,7.8632,8.0793,7.8627,7.8627
196,8.2269,8.0066,8.0066,8.2264,8.0061,8.0061
197,7.8707,7.6422,7.6422,7.8701,7.6416,7.6416
198,7.8938,7.6657,7.6657,7.8932,7.6652,7.6652
199,7.8996,7.8209,7.8209,7.899,7.8203,7.8203
200,7.7535,7.4959,7.4959,7.7529,7.4953,7.4953
201,7.9418,7.6827,7.6827,7.9412,7.682,7.682
202,8.044,7.9394,7.9394,8.0433,7.9388,7.9388
203,8.0125,7.9014,7.9014,8.0119,7.9008,7.9008
204,8.1428,8.034,8.034,8.1421,8.0334,8.0334
205,8.0105,7.9063,7.9063,8.0099,7.9057,7.9057
206,8.1965,8.0898,8.0898,8.1958,8.0892,8.0892
207,8.1965,8.0898,8.0898,8.1958,8.0892,8.0892
208,8.1797,8.0729,8.0729,8.1847,8.0779,8.0779
209,8.268,8.1601,8.1601,8.2665,8.1586,8.1586
210,8.1119,8.0062,8.0062,8.1104,8.0047,8.0047
211,8.1934,8.0928,8.0928,8.1981,8.0975,8.0975
212,8.1125,8.0183,8.0183,8.0484,7.9542,7.9542
213,8.1106,8.0166,8.0166,8.0466,7.9526,7.9526
214,8.0879,7.9933,7.9933,8.0235,7.9289,7.9289
215,8.2943,8.1956,8.1956,8.2271,8.1284,8.1284
216,8.2883,8.1894,8.1894,8.221,8.122,8.122
217,8.3288,8.2281,8.2281,8.2602,8.1595,8.1595
218,8.3692,8.2677,8.2677,8.3001,8.1986,8.1986
219,8.2772,8.1771,8.1771,8.2091,8.109,8.109
220,8.2928,8.1968,8.1968,8.2274,8.1314,8.1314
221,8.3507,8.2484,8.2484,8.3555,8.2532,8.2532
222,8.3705,8.2698,8.2698,8.3529,8.2523,8.2523
223,8.2913,8.1908,8.1908,8.2738,8.1733,8.1733
224,8.2904,8.1902,8.1902,8.2729,8.1727,8.1727
225,8.3039,8.2038,8.2038,8.2864,8.1864,8.1864
226,8.0977,8.0042,8.0042,8.0814,7.9879,7.9879
227,8.0632,7.9654,7.9654,8.0461,7.9483,7.9483
228,8.0772,7.9791,7.9791,8.0601,7.962,7.962
229,8.0677,7.9697,7.9697,8.0506,7.9526,7.9526
230,8.0696,7.9717,7.9717,8.0525,7.9546,7.9546
231,8.0634,7.9651,7.9651,8.0462,7.948,7.948
232,8.1046,8.0103,8.0103,8.0881,7.9939,7.9939
233,8.1648,8.0703,8.0703,8.1483,8.0538,8.0538
234,8.1476,8.0525,8.0525,8.131,8.0359,8.0359
235,8.0892,7.9934,7.9934,8.0725,7.9767,7.9767
236,8.3298,8.2283,8.2283,8.3121,8.2106,8.2106
237,8.1992,8.093,8.093,8.1807,8.0745,8.0745
238,8.1962,8.0909,8.0909,8.1779,8.0725,8.0725
239,8.3179,8.2124,8.2124,8.2995,8.194,8.194
240,8.1919,8.0849,8.0849,8.1733,8.0663,8.0663
241,8.3115,8.2108,8.2108,8.294,8.1932,8.1932
242,8.5045,8.4017,8.4017,8.4865,8.3838,8.3838
243,8.4833,8.3806,8.3806,8.4654,8.3627,8.3627
244,8.5049,8.3976,8.3976,8.4862,8.3789,8.3789
245,8.5893,8.4833,8.4833,8.5708,8.4648,8.4648
246,8.5478,8.4412,8.4412,8.5292,8.4226,8.4226
247,8.494,8.3947,8.3947,8.4767,8.3773,8.3773
248,8.4963,8.5547,8.5547,8.4789,8.5372,8.5372
249,8.5963,8.1505,8.1505,8.5796,8.1338,8.1338
250,8.6141,8.223,8.223,8.5972,8.2061,8.2061
251,8.576,8.187,8.187,8.5592,8.1702,8.1702
252,8.593,8.2032,8.2032,8.5762,8.1863,8.1863
253,8.4658,8.5716,8.5716,8.4484,8.5541,8.5541
254,8.4662,8.5364,8.5364,8.4486,8.5189,8.5189
255,8.339,8.4075,8.4075,8.3219,8.3904,8.3904
256,8.3279,8.3967,8.3967,8.3108,8.3796,8.3796
257,8.3918,8.4654,8.4654,8.3734,8.447,8.447
258,8.4017,8.4729,8.4729,8.4064,8.4777,8.4777
259,8.4292,8.5014,8.5014,8.4286,8.5008,8.5008
260,8.3619,8.4344,8.4344,8.3613,8.4338,8.4338
261,8.3118,8.3886,8.3886,8.3111,8.3879,8.3879
262,8.3515,8.4228,8.4228,8.3509,8.4222,8.4222
263,8.4829,8.5531,8.5531,8.4823,8.5525,8.5525
264,8.5446,8.6154,8.6154,8.5441,8.6148,8.6148
265,8.4458,8.5213,8.5213,8.4451,8.5207,8.5207
266,8.6451,8.7184,8.7184,8.6445,8.7178,8.7178
267,8.6817,8.756,8.756,8.777,8.8513,8.8513
268,8.5645,8.6436,8.6436,8.666,8.7452,8.7452
269,8.5645,8.6436,8.6436,8.666,8.7452,8.7452
270,8.6574,8.7308,8.7308,8.4465,8.5199,8.5199
271,8.9122,8.9841,8.9841,8.5553,8.6272,8.6272
272,8.8236,8.8948,8.8948,8.47,8.5412,8.5412
273,9.0804,9.1522,9.1522,9.0223,9.0941,9.0941
274,9.1357,9.2064,9.2064,8.9782,9.049,9.049
275,9.1855,9.2597,9.2597,9.0203,9.0945,9.0945
276,8.8142,8.8924,8.8924,8.6401,8.7183,8.7183
277,8.8191,8.899,8.899,8.7545,8.8343,8.8343
278,8.8798,8.954,8.954,8.5116,8.5857,8.5857
279,8.9571,9.0308,9.0308,8.591,8.6648,8.6648
280,8.8178,8.8887,8.8887,8.4656,8.5365,8.5365
281,8.4003,8.4674,8.4674,8.0672,8.1343,8.1343
282,8.5294,8.5964,8.5964,8.1963,8.2634,8.2634
283,8.51,8.5784,8.5784,8.1705,8.2389,8.2389
284,8.5356,8.6074,8.6074,8.1791,8.2509,8.2509
285,8.4975,8.5707,8.5707,8.1337,8.207,8.207
286,8.4892,8.562,8.562,8.1276,8.2004,8.2004
287,8.6222,8.6935,8.6935,8.2686,8.3398,8.3398
288,9.1151,9.1893,9.1893,8.7466,8.8208,8.8208
289,8.7637,8.8347,8.8347,8.4111,8.4821,8.4821
290,8.4803,8.5517,8.5517,8.275,8.3464,8.3464
291,8.5986,8.6714,8.6714,8.3769,8.4497,8.4497
292,8.4112,8.4855,8.4855,8.185,8.2592,8.2592
293,9.127,9.2001,9.2001,8.7689,8.842,8.842
294,9.0188,9.0919,9.0919,8.6609,8.7339,8.7339
295,9.2551,9.3262,9.3262,8.9064,8.9776,8.9776
296,9.139,9.2097,9.2097,8.7925,8.8632,8.8632
297,8.6888,8.7627,8.7627,8.4637,8.5376,8.5376
298,8.9764,9.0521,9.0521,8.9536,9.0294,9.0294
299,8.9038,8.9808,8.9808,8.8334,8.9104,8.9104
300,8.9557,7.6152,7.6152,8.8858,7.645,7.645
301,8.4624,8.1724,8.1724,8.5523,8.2191,8.2191
302,8.4574,8.169,8.169,8.5468,8.2154,8.2154
303,8.4396,8.157,8.157,8.5272,8.2025,8.2025
304,8.4778,7.8747,7.8747,8.5681,8.0255,8.0255
305,8.4761,7.8878,7.8878,8.5665,8.0336,8.0336
